"a.i."	"length.patient."	"mean.d.JMJD1C."	"median.d.JMJD1C."	"sum.d.JMJD1C."	"mean.e.IFNG."	"median.e.IFNG."	"sum.e.IFNG."	"mean.f.STAT3_mean."	"median.f.STAT3_mean."	"sum.f.STAT3_mean."	"mean.f.STAT3_median."	"median.f.STAT3_median."	"sum.f.STAT3_median."	"mean.f.STAT3_sum."	"median.f.STAT3_sum."	"sum.f.STAT3_sum."	"mean.f.PI3K_mean."	"median.f.PI3K_mean."	"sum.f.PI3K_mean."	"mean.f.PI3K_median."	"median.f.PI3K_median."	"sum.f.PI3K_median."	"mean.f.PI3K_sum."	"median.f.PI3K_sum."	"sum.f.PI3K_sum."	"mean.o.GZMB."	"median.o.GZMB."	"sum.o.GZMB."	"mean.p.TNF."	"median.p.TNF."	"sum.p.TNF."	"mean.q.IFNG."	"median.q.IFNG."	"sum.q.IFNG."	"Treg_frequence"	"CD8_frequence"	"CD8_ratio"
"1"	"0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2"	"AML.PeterVanGalen2019.sce.rds"	6	0.285099861019357	-0.499685081688189	1.14039944407743	-0.125579657997316	-0.125579657997316	-0.502318631989262	-0.0191779276605461	-0.0312260577846134	-0.0767117106421842	-0.0175233614507106	-0.0164507472467694	-0.0700934458028425	-1.66847970646751	-2.71666702726137	-6.67391882587003	0.00647681174537246	0.0169467167036662	0.0259072469814899	-0.0567419511915416	-0.0545341207096911	-0.226967804766166	0.680065233264109	1.77940525388495	2.72026093305643	-0.107399955086014	-0.107399955086014	-0.751799685602097	-0.154615488172352	-0.154615488172352	-1.08230841720647	0.730806214972439	-0.125579657997316	5.11564350480707	0.19047619047619	0.25	1.75
"3"	"AML.PeterVanGalen2019.sce.rds"	6	0.0254167322527176	-0.499685081688189	1.06750275461414	-0.125579657997316	-0.125579657997316	-5.27434563588725	-0.0223451835810755	-0.0251313843144792	-0.938497710405169	-0.00856294672336985	0	-0.359643762381534	-1.94403097155356	-2.18643043535969	-81.6493008052497	-0.00982995156108908	-0.0165510697927791	-0.412857965565741	-0.0521508431494399	-0.0514346776190958	-2.19033541227647	-1.03214491391435	-1.7378623282418	-43.3500863844028	-0.0192590107984524	-0.107399955086014	-4.4103134728456	0.00865152221145525	-0.154615488172352	1.98119858642325	-0.0303542572950562	-0.125579657997316	-6.95112492056788	0.102439024390244	0.358372456964006	5.45238095238095
"4"	"AML.PeterVanGalen2019.sce.rds"	6	-0.499685081688189	-0.499685081688189	-0.499685081688189	-0.125579657997316	-0.125579657997316	-0.125579657997316	-0.00472911024839272	-0.00472911024839272	-0.00472911024839272	-0.0190132525334375	-0.0190132525334375	-0.0190132525334375	-0.411432591610167	-0.411432591610167	-0.411432591610167	0.00743550226759555	0.00743550226759555	0.00743550226759555	-0.0669769369533743	-0.0669769369533743	-0.0669769369533743	0.780727738097533	0.780727738097533	0.780727738097533	-0.107399955086014	-0.107399955086014	-1.39619941611818	-0.154615488172352	-0.154615488172352	-2.01000134624058	0.562820696781413	-0.125579657997316	7.31666905815837	0.0588235294117647	0.433333333333333	13
"5"	"AML.PeterVanGalen2019.sce.rds"	6	-0.00400481158357022	-0.499685081688189	-0.112134724339966	-0.125579657997316	-0.125579657997316	-3.51623042392484	-0.0468846172808355	-0.0558592266222117	-1.31276928386339	-0.00923903801746065	-0.00560554062418764	-0.258693064488898	-4.07896170343269	-4.85975271613242	-114.210927696115	-0.00226838818511354	0.00382572186036612	-0.063514869183179	-0.05884861803084	-0.0617724927389574	-1.64776130486352	-0.238180759436921	0.401700795338443	-6.66906126423379	0.189876514181222	-0.107399955086014	12.9116029643231	-0.0525886274417105	-0.154615488172352	-3.57602666603632	-0.125579657997316	-0.125579657997316	-8.53941674381746	0.21875	0.346938775510204	2.42857142857143
"6"	"AML.PeterVanGalen2019.sce.rds"	6	-0.0196679247375404	-0.499685081688189	-0.865388688451776	-0.125579657997316	-0.125579657997316	-5.52550495188188	0.00350422580123717	-0.0011638672083314	0.154185935254435	-0.00810792185248948	0	-0.356748561509537	0.304867644707634	-0.101256447124832	13.4141763671359	-0.000424093216585053	0.00226220192886677	-0.0186601015297423	-0.0626054524197169	-0.0634912498723002	-2.75463990646754	-0.0445297877414305	0.237531202531011	-1.95931066062294	-0.0543817189289854	-0.107399955086014	-14.846209267613	-0.0963343339437889	-0.154615488172352	-26.2992731666544	0.157474252331877	-0.125579657997316	42.9904708866024	0.200913242009132	0.554878048780488	6.20454545454545
"7"	"AML.PeterVanGalen2019.sce.rds"	6	-0.499685081688189	-0.499685081688189	-0.499685081688189	-0.125579657997316	-0.125579657997316	-0.125579657997316	-0.0553203299711118	-0.0553203299711118	-0.0553203299711118	0	0	0	-4.81286870748672	-4.81286870748672	-4.81286870748672	-0.0668444395888247	-0.0668444395888247	-0.0668444395888247	-0.0510068740669192	-0.0510068740669192	-0.0510068740669192	-7.01866615682659	-7.01866615682659	-7.01866615682659	1.77713524835397	-0.107399955086014	7.10854099341588	-0.154615488172352	-0.154615488172352	-0.618461952689409	-0.125579657997316	-0.125579657997316	-0.502318631989262	0.166666666666667	0.4	4
"8"	"BCC.KathrynEYost2019.sce.rds"	11	-0.0282572301927819	-0.738413507600301	-15.9935922891146	-0.378401538331127	-0.385873543508762	-214.175270695418	-0.0113756365370056	-0.0132400956658674	-6.43861027994518	-0.0127159203912251	-0.0115444715246155	-7.19721094143343	-0.966929105645477	-1.12540813159873	-547.28187379534	-0.000647416196256885	-0.000847655321248712	-0.366437567081397	-0.0744245583479257	-0.0729960567579839	-42.124300024926	-0.0666838682144591	-0.0873084980886173	-37.7430694093839	0.113430377045134	-0.614671920756826	161.071135404091	-0.334470714787487	-0.386726975510726	-474.948414998231	-0.252050822470596	-0.385873543508762	-357.912167908247	0.372123602892834	0.482828969738184	2.50883392226148
"9"	"BCC.KathrynEYost2019.sce.rds"	11	0.151068138611986	-0.738413507600301	1.96388580195581	-0.255855447931958	-0.385873543508762	-3.32612082311545	0.033898459219038	0.0246951628724151	0.440679969847493	-0.00541379786528562	0	-0.070379372248713	2.88136903361823	2.09908884415528	37.4577974370369	-0.000867091343904095	-0.0179639259428545	-0.0112721874707532	-0.0696378104043418	-0.07209746476781	-0.905291535256444	-0.0893104084221219	-1.85028437211401	-1.16103530948758	1.0736970399842	1.37241331631352	88.0431572787048	-0.240463052652887	-0.386726975510726	-19.7179703175368	0.0656489740343596	-0.385873543508762	5.38321587081748	0.166666666666667	0.5125	6.30769230769231
"10"	"BCC.KathrynEYost2019.sce.rds"	11	-0.0805348569193177	-0.738413507600301	-1.3690925676284	-0.385873543508762	-0.385873543508762	-6.55985023964895	0.0229117191284187	0.00327894639079875	0.389499225183117	-0.0084203540774507	-0.00792162854869046	-0.143146019316662	1.94749612591559	0.278710443217894	33.107434140565	0.00908498890630951	0.00982626121800665	0.154444811407262	-0.0660133111549597	-0.0652327819899617	-1.12222628963432	0.935753857349879	1.01210490545468	15.9078155749479	-0.0780602359321745	-0.614671920756826	-4.05913226847307	-0.146581015681668	-0.386726975510726	-7.62221281544673	-0.013818286641517	-0.385873543508762	-0.718550905358885	0.274193548387097	0.456140350877193	3.05882352941176
"11"	"BCC.KathrynEYost2019.sce.rds"	11	0.277213891533163	0.420458695215917	21.6226835395867	-0.365123302136103	-0.385873543508762	-28.4796175666161	0.00829369742626961	0.00767294788589291	0.64690839924903	-0.00802756287911113	-0.00933345694573025	-0.626149904570669	0.704964281232917	0.652200570300898	54.9872139361675	-0.00154666523907813	0.000542411080791207	-0.120639888648094	-0.0730724470920297	-0.0705138878652451	-5.69965087317832	-0.159306519625048	0.0558683413214943	-12.4259085307537	-0.0521739727361307	-0.614671920756826	-11.5304479746849	0.0715661169511192	-0.386726975510726	15.8161118461973	0.0459143112797536	-0.385873543508762	10.1470627928255	0.26530612244898	0.429126213592233	2.83333333333333
