	i	j	d	f	o	n
3760	1	26	5	26	0.561005949	3.15E-17
3761	1	26	5	27	0.427414957	6.97E-10
3762	1	26	5	28	0.406632777	5.31E-09
3763	1	26	5	29	0.719033616	1.09E-31
3764	1	26	5	30	0.407421389	4.93E-09
3765	1	26	5	31	0.153968792	0.033451637
3766	1	26	5	32	0.775018765	1.58E-39
3767	1	26	5	33	0.372170316	1.15E-07
3768	1	26	5	34	0.371658021	1.20E-07
3769	1	26	5	35	0.7410934	1.55E-34
3770	1	26	5	36	0.437958605	2.36E-10
3771	1	26	5	37	-0.291397505	4.32E-05
3772	1	26	5	38	-0.463795833	1.41E-11
3773	1	26	6	9	0.390511238	2.34E-08
3774	1	26	6	10	0.399159978	1.07E-08
3775	1	26	6	11	0.572600194	4.95E-18
3776	1	26	6	12	-0.142786571	0.048780579
3777	1	26	6	13	-0.185625742	0.01014223
3778	1	26	6	14	-0.492555019	4.57E-13
3779	1	26	6	15	0.394597491	1.62E-08
3780	1	26	6	16	0.4017221	8.41E-09
3781	1	26	6	17	0.573126843	4.55E-18
3782	1	26	6	18	0.290829725	4.47E-05
3783	1	26	6	19	0.272443839	0.000137338
3784	1	26	6	20	0.432911397	3.98E-10
3785	1	26	6	21	-0.311127749	1.18E-05
3786	1	26	6	22	-0.312679787	1.06E-05
3787	1	26	6	23	-0.558759691	4.47E-17
3788	1	26	6	24	0.287009947	5.68E-05
3789	1	26	6	25	0.269289349	0.000165188
3790	1	26	6	26	0.433438946	3.77E-10
3791	1	26	7	9	0.132533092	0.067595906
3792	1	26	7	10	0.133074532	0.06647237
3793	1	26	7	11	0.000165282	0.998189407
3794	1	26	7	12	-0.112853176	0.120090547
3795	1	26	7	13	-0.120051981	0.098077022
3796	1	26	7	14	0.113463009	0.118088407
3797	1	26	7	15	0.148217752	0.040728833
3798	1	26	7	16	0.14985917	0.038527397
3799	1	26	7	17	0.002336741	0.974406297
3800	1	26	7	18	0.096387703	0.184690406
3801	1	26	7	19	0.096399102	0.18463824
3802	1	26	7	20	0.016362884	0.822235885
3803	1	26	7	21	-0.14751103	0.041708739
3804	1	26	7	22	-0.137713817	0.0574579
3805	1	26	7	23	0.084823687	0.243333409
3806	1	26	7	24	0.099602147	0.170404719
3807	1	26	7	25	0.100160685	0.168008574
3808	1	26	7	26	0.020751397	0.775691545
3809	1	26	8	9	0.29233855	4.07E-05
3810	1	26	8	10	0.300187864	2.45E-05
3811	1	26	8	11	0.713769009	4.74E-31
3812	1	26	8	12	0.006405307	0.929922054
3813	1	26	8	13	-0.019381667	0.790141661
3814	1	26	8	14	-0.683979607	1.09E-27
3815	1	26	8	15	0.294721522	3.49E-05
3816	1	26	8	16	0.301217754	2.29E-05
3817	1	26	8	17	0.720611839	6.95E-32
3818	1	26	8	18	0.217046715	0.002561403
3819	1	26	8	19	0.207789404	0.00392153
3820	1	26	8	20	0.49273687	4.46E-13
3821	1	26	8	21	-0.232886683	0.001186413
3822	1	26	8	22	-0.226727145	0.001610274
3823	1	26	8	23	-0.794914295	7.02E-43
3824	1	26	8	24	0.214411672	0.00289668
3825	1	26	8	25	0.205297501	0.004384943
3826	1	26	8	26	0.495027116	3.35E-13
3827	1	27	3	6	0.406009307	8.87E-10
3828	1	27	3	7	0.082705433	0.231587376
3829	1	27	3	8	0.379205385	1.27E-08
3830	1	27	3	9	0.575518709	5.24E-20
3831	1	27	3	10	0.572432876	9.15E-20
3832	1	27	3	11	0.49146656	3.14E-14
3833	1	27	3	12	-0.421195068	1.76E-10
3834	1	27	3	13	-0.469969494	5.44E-13
3835	1	27	3	14	-0.48185069	1.15E-13
3836	1	27	3	15	0.566940836	2.43E-19
3837	1	27	3	16	0.571663657	1.05E-19
3838	1	27	3	17	0.475879968	2.53E-13
3839	1	27	3	18	0.508972998	2.64E-15
3840	1	27	3	19	0.495484158	1.80E-14
3841	1	27	3	20	0.448812696	7.46E-12
3842	1	27	3	21	-0.656358314	2.22E-27
3843	1	27	3	22	-0.662369993	5.08E-28
3844	1	27	3	23	-0.489709261	3.99E-14
3845	1	27	3	24	0.508000276	3.04E-15
3846	1	27	3	25	0.493235378	2.46E-14
3847	1	27	3	26	0.441983163	1.67E-11
3848	1	27	3	27	0.574374513	6.45E-20
3849	1	27	3	28	0.454530823	3.74E-12
3850	1	27	3	29	0.312717829	3.62E-06
3851	1	27	3	30	0.640416382	9.46E-26
3852	1	27	3	31	0.283071852	3.00E-05
3853	1	27	3	32	0.454120837	3.93E-12
3854	1	27	3	33	0.617727583	1.37E-23
3855	1	27	3	34	0.384209979	7.89E-09
3856	1	27	3	35	0.394243106	2.94E-09
3857	1	27	3	36	0.216656226	0.001544926
3858	1	27	3	37	-0.235134436	0.000573931
3859	1	27	3	38	-0.288880118	2.02E-05
3860	1	27	4	6	0.380417101	1.14E-08
3861	1	27	4	7	0.159009678	0.020846694
3862	1	27	4	8	0.327531793	1.15E-06
3863	1	27	4	9	0.504338366	5.16E-15
3864	1	27	4	10	0.509743057	2.36E-15
3865	1	27	4	11	0.37371977	2.14E-08
3866	1	27	4	12	-0.386708614	6.19E-09
3867	1	27	4	13	-0.46376129	1.20E-12
3868	1	27	4	14	-0.273360847	5.72E-05
3869	1	27	4	15	0.501347101	7.90E-15
3870	1	27	4	16	0.51163674	1.79E-15
3871	1	27	4	17	0.365604883	4.51E-08
3872	1	27	4	18	0.435503143	3.54E-11
3873	1	27	4	19	0.427856181	8.42E-11
3874	1	27	4	20	0.362725102	5.85E-08
3875	1	27	4	21	-0.536980061	3.70E-17
3876	1	27	4	22	-0.536702133	3.87E-17
3877	1	27	4	23	-0.292217597	1.60E-05
3878	1	27	4	24	0.435947515	3.37E-11
3879	1	27	4	25	0.428624018	7.72E-11
3880	1	27	4	26	0.359608219	7.73E-08
3881	1	27	4	27	0.5380433	3.12E-17
3882	1	27	4	28	0.461600266	1.57E-12
3883	1	27	4	29	0.214109354	0.001760016
3884	1	27	4	30	0.568561185	1.83E-19
3885	1	27	4	31	0.357706316	9.14E-08
3886	1	27	4	32	0.321280495	1.88E-06
3887	1	27	4	33	0.507528753	3.26E-15
3888	1	27	4	34	0.381862323	9.89E-09
3889	1	27	4	35	0.257004316	0.000160247
3890	1	27	4	36	0.138049076	0.045180847
3891	1	27	4	37	-0.181803805	0.008114613
3892	1	27	4	38	-0.19486716	0.004496087
3893	1	27	5	6	0.605518063	1.69E-22
3894	1	27	5	7	-0.010806025	0.876002517
3895	1	27	5	8	0.783399135	4.76E-45
3896	1	27	5	9	0.389174592	4.86E-09
3897	1	27	5	10	0.388497526	5.20E-09
3898	1	27	5	11	0.744273194	1.70E-38
3899	1	27	5	12	-0.020072632	0.771916466
3900	1	27	5	13	-0.056092378	0.417602815
3901	1	27	5	14	-0.827026246	3.50E-54
3902	1	27	5	15	0.384529844	7.65E-09
3903	1	27	5	16	0.388557682	5.17E-09
3904	1	27	5	17	0.743367026	2.33E-38
3905	1	27	5	18	0.329458415	9.85E-07
3906	1	27	5	19	0.324583285	1.45E-06
3907	1	27	5	20	0.566482632	2.64E-19
3908	1	27	5	21	-0.392260425	3.58E-09
3909	1	27	5	22	-0.388566641	5.16E-09
3910	1	27	5	23	-0.938889287	9.27E-99
3911	1	27	5	24	0.328366662	1.07E-06
3912	1	27	5	25	0.322819586	1.67E-06
3913	1	27	5	26	0.564688216	3.61E-19
3914	1	27	5	27	0.416482254	2.93E-10
3915	1	27	5	28	0.375249246	1.85E-08
3916	1	27	5	29	0.738634376	1.19E-37
3917	1	27	5	30	0.436833671	3.04E-11
3918	1	27	5	31	0.163670621	0.017340956
3919	1	27	5	32	0.795049623	2.87E-47
3920	1	27	5	33	0.446134312	1.03E-11
3921	1	27	5	34	0.389053228	4.92E-09
3922	1	27	5	35	0.774962956	1.59E-43
3923	1	27	5	36	0.390813847	4.14E-09
3924	1	27	5	37	-0.277145424	4.46E-05
3925	1	27	5	38	-0.421410591	1.72E-10
3926	1	27	6	9	0.404304911	1.06E-09
3927	1	27	6	10	0.412787525	4.35E-10
3928	1	27	6	11	0.586594298	6.75E-21
3929	1	27	6	12	-0.110756838	0.108665934
3930	1	27	6	13	-0.157178519	0.022383222
3931	1	27	6	14	-0.528526237	1.40E-16
3932	1	27	6	15	0.407197328	7.83E-10
3933	1	27	6	16	0.414809843	3.50E-10
3934	1	27	6	17	0.587344359	5.86E-21
3935	1	27	6	18	0.299132167	9.83E-06
3936	1	27	6	19	0.282446348	3.13E-05
3937	1	27	6	20	0.444997449	1.17E-11
3938	1	27	6	21	-0.328680254	1.05E-06
3939	1	27	6	22	-0.331068787	8.66E-07
3940	1	27	6	23	-0.600022842	5.05E-22
3941	1	27	6	24	0.295448998	1.28E-05
3942	1	27	6	25	0.279350479	3.86E-05
3943	1	27	6	26	0.445607807	1.09E-11
3944	1	27	7	9	0.132760572	0.054162474
3945	1	27	7	10	0.133226414	0.053316053
3946	1	27	7	11	0.017613269	0.799227171
3947	1	27	7	12	-0.11154479	0.106158613
3948	1	27	7	13	-0.127596833	0.064312123
3949	1	27	7	14	0.090577458	0.189995181
3950	1	27	7	15	0.146713653	0.033170076
3951	1	27	7	16	0.148124489	0.031497572
3952	1	27	7	17	0.019001923	0.783774177
3953	1	27	7	18	0.092245616	0.181931012
3954	1	27	7	19	0.092254489	0.181888802
3955	1	27	7	20	0.024365762	0.72492609
3956	1	27	7	21	-0.154845926	0.024481302
3957	1	27	7	22	-0.146420838	0.033526497
3958	1	27	7	23	0.058416604	0.398540501
3959	1	27	7	24	0.095014049	0.16910882
3960	1	27	7	25	0.095493201	0.166959663
3961	1	27	7	26	0.028616017	0.679396306
3962	1	27	8	9	0.328467307	1.07E-06
3963	1	27	8	10	0.334379638	6.62E-07
3964	1	27	8	11	0.704225118	6.33E-33
3965	1	27	8	12	0.026783846	0.698892364
3966	1	27	8	13	-0.006707408	0.922843096
3967	1	27	8	14	-0.689137079	4.63E-31
3968	1	27	8	15	0.329668355	9.69E-07
3969	1	27	8	16	0.33534129	6.12E-07
3970	1	27	8	17	0.710030296	1.13E-33
3971	1	27	8	18	0.237597275	0.000499963
3972	1	27	8	19	0.22890714	0.000808388
3973	1	27	8	20	0.494159716	2.16E-14
3974	1	27	8	21	-0.266438704	8.92E-05
3975	1	27	8	22	-0.262434758	0.000114662
3976	1	27	8	23	-0.793370551	6.12E-47
3977	1	27	8	24	0.234868977	0.00058248
3978	1	27	8	25	0.226679335	0.000911774
3979	1	27	8	26	0.496043686	1.67E-14
3980	1	28	3	6	0.391723265	2.26E-09
3981	1	28	3	7	0.081947176	0.229282891
3982	1	28	3	8	0.361067215	4.40E-08
3983	1	28	3	9	0.565243484	1.02E-19
3984	1	28	3	10	0.563487035	1.40E-19
3985	1	28	3	11	0.474748151	1.35E-13
3986	1	28	3	12	-0.39978674	9.84E-10
3987	1	28	3	13	-0.447771325	4.26E-12
3988	1	28	3	14	-0.458673059	1.09E-12
3989	1	28	3	15	0.557077704	4.35E-19
3990	1	28	3	16	0.562969395	1.53E-19
3991	1	28	3	17	0.45926011	1.02E-12
3992	1	28	3	18	0.506666573	1.49E-15
3993	1	28	3	19	0.493484386	1.01E-14
3994	1	28	3	20	0.442647378	7.94E-12
3995	1	28	3	21	-0.653240025	8.74E-28
3996	1	28	3	22	-0.656656452	3.75E-28
3997	1	28	3	23	-0.468268232	3.17E-13
3998	1	28	3	24	0.505984229	1.65E-15
3999	1	28	3	25	0.491186768	1.40E-14
4000	1	28	3	26	0.435770993	1.80E-11
4001	1	28	3	27	0.576552821	1.27E-20
4002	1	28	3	28	0.454620753	1.82E-12
4003	1	28	3	29	0.301399991	6.19E-06
4004	1	28	3	30	0.640676598	1.80E-26
4005	1	28	3	31	0.281185428	2.63E-05
4006	1	28	3	32	0.436721128	1.61E-11
4007	1	28	3	33	0.610380928	1.53E-23
4008	1	28	3	34	0.377980706	8.89E-09
4009	1	28	3	35	0.375960623	1.08E-08
4010	1	28	3	36	0.210412242	0.001829313
4011	1	28	3	37	-0.22450166	0.000866489
4012	1	28	3	38	-0.276535999	3.61E-05
4013	1	28	4	6	0.359404929	5.13E-08
4014	1	28	4	7	0.154587011	0.022740535
4015	1	28	4	8	0.30377242	5.19E-06
4016	1	28	4	9	0.485090782	3.29E-14
4017	1	28	4	10	0.49234678	1.19E-14
4018	1	28	4	11	0.352520666	9.54E-08
4019	1	28	4	12	-0.348183633	1.40E-07
4020	1	28	4	13	-0.421948052	8.86E-11
4021	1	28	4	14	-0.242065561	0.000319536
4022	1	28	4	15	0.482952969	4.42E-14
4023	1	28	4	16	0.494924437	8.26E-15
4024	1	28	4	17	0.344454955	1.94E-07
4025	1	28	4	18	0.42581181	5.72E-11
4026	1	28	4	19	0.419441213	1.17E-10
4027	1	28	4	20	0.35335894	8.85E-08
4028	1	28	4	21	-0.522377556	1.36E-16
4029	1	28	4	22	-0.518151912	2.63E-16
4030	1	28	4	23	-0.267713606	6.50E-05
4031	1	28	4	24	0.426448727	5.32E-11
4032	1	28	4	25	0.420225221	1.08E-10
4033	1	28	4	26	0.35032573	1.16E-07
4034	1	28	4	27	0.53634428	1.46E-17
4035	1	28	4	28	0.461482196	7.64E-13
4036	1	28	4	29	0.206740064	0.002205844
4037	1	28	4	30	0.557227372	4.24E-19
4038	1	28	4	31	0.349464403	1.25E-07
4039	1	28	4	32	0.305767854	4.46E-06
4040	1	28	4	33	0.489859666	1.69E-14
4041	1	28	4	34	0.367567111	2.41E-08
4042	1	28	4	35	0.240197162	0.000356572
4043	1	28	4	36	0.128508514	0.058763471
4044	1	28	4	37	-0.164433527	0.01531703
4045	1	28	4	38	-0.177454695	0.008798186
4046	1	28	5	6	0.60933483	1.91E-23
4047	1	28	5	7	-0.012599611	0.85359048
4048	1	28	5	8	0.788510977	2.81E-47
4049	1	28	5	9	0.37105416	1.73E-08
4050	1	28	5	10	0.37214944	1.56E-08
4051	1	28	5	11	0.72469795	1.26E-36
4052	1	28	5	12	-0.006022277	0.929716049
4053	1	28	5	13	-0.040658569	0.551358794
4054	1	28	5	14	-0.827311955	9.27E-56
4055	1	28	5	15	0.367196561	2.49E-08
4056	1	28	5	16	0.37218591	1.55E-08
4057	1	28	5	17	0.72369561	1.75E-36
4058	1	28	5	18	0.321261844	1.34E-06
4059	1	28	5	19	0.315627798	2.09E-06
4060	1	28	5	20	0.561404708	2.03E-19
4061	1	28	5	21	-0.385389274	4.29E-09
4062	1	28	5	22	-0.380252868	7.12E-09
4063	1	28	5	23	-0.939638778	4.20E-102
4064	1	28	5	24	0.320517148	1.42E-06
4065	1	28	5	25	0.313905466	2.39E-06
4066	1	28	5	26	0.559988256	2.60E-19
4067	1	28	5	27	0.400252138	9.37E-10
4068	1	28	5	28	0.356512862	6.67E-08
4069	1	28	5	29	0.740252279	6.23E-39
4070	1	28	5	30	0.436702888	1.61E-11
4071	1	28	5	31	0.159387165	0.018803807
4072	1	28	5	32	0.796084158	8.69E-49
4073	1	28	5	33	0.443004922	7.61E-12
4074	1	28	5	34	0.380301064	7.09E-09
4075	1	28	5	35	0.779118318	1.72E-45
4076	1	28	5	36	0.390431957	2.58E-09
4077	1	28	5	37	-0.271164947	5.18E-05
4078	1	28	5	38	-0.413416354	2.29E-10
4079	1	28	6	9	0.388077186	3.27E-09
4080	1	28	6	10	0.398388697	1.14E-09
4081	1	28	6	11	0.566640733	7.91E-20
4082	1	28	6	12	-0.105606776	0.120892046
4083	1	28	6	13	-0.150757781	0.026372537
4084	1	28	6	14	-0.535046403	1.81E-17
4085	1	28	6	15	0.391244836	2.38E-09
4086	1	28	6	16	0.400177619	9.44E-10
4087	1	28	6	17	0.567253224	7.08E-20
4088	1	28	6	18	0.290812489	1.34E-05
4089	1	28	6	19	0.272775126	4.65E-05
4090	1	28	6	20	0.434909098	2.00E-11
4091	1	28	6	21	-0.322591686	1.20E-06
4092	1	28	6	22	-0.323685331	1.10E-06
4093	1	28	6	23	-0.604886566	4.82E-23
4094	1	28	6	24	0.287191696	1.73E-05
4095	1	28	6	25	0.269812263	5.66E-05
4096	1	28	6	26	0.435730732	1.81E-11
4097	1	28	7	9	0.132642129	0.051023069
4098	1	28	7	10	0.133088666	0.050240148
4099	1	28	7	11	0.019589739	0.774161562
4100	1	28	7	12	-0.114966711	0.091144711
4101	1	28	7	13	-0.130347883	0.055207232
4102	1	28	7	14	0.088166228	0.195738217
4103	1	28	7	15	0.146017563	0.031548352
4104	1	28	7	16	0.147369577	0.029990623
4105	1	28	7	17	0.02092108	0.759269422
4106	1	28	7	18	0.091101795	0.18120821
4107	1	28	7	19	0.091110064	0.181168435
4108	1	28	7	20	0.024253568	0.722390236
4109	1	28	7	21	-0.156461564	0.021125746
4110	1	28	7	22	-0.148386689	0.028862462
4111	1	28	7	23	0.057764508	0.397152918
4112	1	28	7	24	0.093756208	0.168768556
4113	1	28	7	25	0.094215149	0.166683897
4114	1	28	7	26	0.02832615	0.67818326
4115	1	28	8	9	0.308455841	3.64E-06
4116	1	28	8	10	0.316115714	2.01E-06
4117	1	28	8	11	0.677280019	1.76E-30
4118	1	28	8	12	0.034073549	0.617652101
4119	1	28	8	13	0.001929664	0.977453531
4120	1	28	8	14	-0.695475485	1.07E-32
4121	1	28	8	15	0.310245385	3.17E-06
4122	1	28	8	16	0.316969715	1.88E-06
4123	1	28	8	17	0.682771275	3.93E-31
4124	1	28	8	18	0.228146688	0.000708759
4125	1	28	8	19	0.218270892	0.001212743
4126	1	28	8	20	0.481553029	5.36E-14
4127	1	28	8	21	-0.26105999	9.98E-05
4128	1	28	8	22	-0.255861908	0.000138438
4129	1	28	8	23	-0.798365265	2.97E-49
4130	1	28	8	24	0.225689877	0.000811834
4131	1	28	8	25	0.216229256	0.00135129
4132	1	28	8	26	0.483790116	3.94E-14
4133	1	29	3	6	0.388221005	2.31E-09
4134	1	29	3	7	0.081450417	0.227822989
4135	1	29	3	8	0.356793118	4.91E-08
4136	1	29	3	9	0.562676315	7.47E-20
4137	1	29	3	10	0.560346623	1.14E-19
4138	1	29	3	11	0.472182478	1.13E-13
4139	1	29	3	12	-0.397768193	8.53E-10
4140	1	29	3	13	-0.444756613	3.93E-12
4141	1	29	3	14	-0.454247635	1.19E-12
4142	1	29	3	15	0.554898796	3.02E-19
4143	1	29	3	16	0.560063763	1.20E-19
4144	1	29	3	17	0.456508283	8.93E-13
4145	1	29	3	18	0.497620889	3.15E-15
4146	1	29	3	19	0.485875544	1.71E-14
4147	1	29	3	20	0.436826171	1.03E-11
4148	1	29	3	21	-0.653611145	2.59E-28
4149	1	29	3	22	-0.656244855	1.33E-28
4150	1	29	3	23	-0.465570919	2.74E-13
4151	1	29	3	24	0.497000603	3.45E-15
4152	1	29	3	25	0.483629373	2.34E-14
4153	1	29	3	26	0.429851572	2.37E-11
4154	1	29	3	27	0.568096235	2.76E-20
4155	1	29	3	28	0.452239659	1.54E-12
4156	1	29	3	29	0.299709749	5.76E-06
4157	1	29	3	30	0.638520982	1.04E-26
4158	1	29	3	31	0.27992452	2.42E-05
4159	1	29	3	32	0.434254865	1.41E-11
4160	1	29	3	33	0.608014216	9.91E-24
4161	1	29	3	34	0.376578009	7.44E-09
4162	1	29	3	35	0.371641654	1.21E-08
4163	1	29	3	36	0.213750217	0.001390426
4164	1	29	3	37	-0.222015387	0.000889424
4165	1	29	3	38	-0.275648726	3.25E-05
4166	1	29	4	6	0.356102696	5.23E-08
4167	1	29	4	7	0.155545468	0.020704263
4168	1	29	4	8	0.300323831	5.50E-06
4169	1	29	4	9	0.48313815	2.51E-14
4170	1	29	4	10	0.489851482	9.71E-15
4171	1	29	4	11	0.349676692	9.38E-08
4172	1	29	4	12	-0.349070098	9.91E-08
4173	1	29	4	13	-0.421786986	6.05E-11
4174	1	29	4	14	-0.24039873	0.000310294
4175	1	29	4	15	0.4807757	3.49E-14
4176	1	29	4	16	0.492371701	6.76E-15
4177	1	29	4	17	0.341291828	1.97E-07
4178	1	29	4	18	0.424153049	4.61E-11
4179	1	29	4	19	0.417919825	9.39E-11
4180	1	29	4	20	0.351220377	8.16E-08
4181	1	29	4	21	-0.525027106	4.68E-17
4182	1	29	4	22	-0.521560275	8.14E-17
4183	1	29	4	23	-0.267510469	5.63E-05
4184	1	29	4	24	0.424789565	4.28E-11
4185	1	29	4	25	0.418696428	8.60E-11
4186	1	29	4	26	0.348293495	1.06E-07
4187	1	29	4	27	0.537738578	5.82E-18
4188	1	29	4	28	0.465766928	2.67E-13
4189	1	29	4	29	0.207565666	0.001921912
4190	1	29	4	30	0.557194043	2.01E-19
4191	1	29	4	31	0.349832064	9.25E-08
4192	1	29	4	32	0.301337144	5.10E-06
4193	1	29	4	33	0.488312371	1.21E-14
4194	1	29	4	34	0.370373133	1.36E-08
4195	1	29	4	35	0.233165721	0.000474246
4196	1	29	4	36	0.133588079	0.047304127
4197	1	29	4	37	-0.169997651	0.011363504
4198	1	29	4	38	-0.182632775	0.006477611
4199	1	29	5	6	0.612810737	3.54E-24
4200	1	29	5	7	-0.012693623	0.851157527
4201	1	29	5	8	0.791199622	1.15E-48
4202	1	29	5	9	0.367694898	1.76E-08
4203	1	29	5	10	0.36749556	1.80E-08
4204	1	29	5	11	0.726396204	1.59E-37
4205	1	29	5	12	-0.003376494	0.960193559
4206	1	29	5	13	-0.038038058	0.573793628
4207	1	29	5	14	-0.829723393	2.26E-57
4208	1	29	5	15	0.36401884	2.50E-08
4209	1	29	5	16	0.36763699	1.77E-08
4210	1	29	5	17	0.72588728	1.88E-37
4211	1	29	5	18	0.3152011	1.74E-06
4212	1	29	5	19	0.309083988	2.81E-06
4213	1	29	5	20	0.561730852	8.87E-20
4214	1	29	5	21	-0.384535052	3.36E-09
4215	1	29	5	22	-0.379715307	5.45E-09
4216	1	29	5	23	-0.940705602	8.59E-105
4217	1	29	5	24	0.314654313	1.82E-06
4218	1	29	5	25	0.307162994	3.27E-06
4219	1	29	5	26	0.560586051	1.09E-19
4220	1	29	5	27	0.397036043	9.22E-10
4221	1	29	5	28	0.353291422	6.76E-08
4222	1	29	5	29	0.740447131	1.18E-39
4223	1	29	5	30	0.435398861	1.23E-11
4224	1	29	5	31	0.158956412	0.018044145
4225	1	29	5	32	0.79563377	1.43E-49
4226	1	29	5	33	0.442507422	5.18E-12
4227	1	29	5	34	0.378371622	6.23E-09
4228	1	29	5	35	0.77601599	1.01E-45
4229	1	29	5	36	0.394439136	1.21E-09
4230	1	29	5	37	-0.268836178	5.15E-05
4231	1	29	5	38	-0.411859159	1.85E-10
4232	1	29	6	9	0.383307916	3.80E-09
4233	1	29	6	10	0.393593173	1.32E-09
4234	1	29	6	11	0.568059461	2.78E-20
4235	1	29	6	12	-0.104929419	0.119865446
4236	1	29	6	13	-0.150219733	0.02553575
4237	1	29	6	14	-0.539717838	4.17E-18
4238	1	29	6	15	0.386488024	2.75E-09
4239	1	29	6	16	0.395443128	1.09E-09
4240	1	29	6	17	0.569503946	2.12E-20
4241	1	29	6	18	0.287264058	1.44E-05
4242	1	29	6	19	0.268041967	5.43E-05
4243	1	29	6	20	0.438704619	8.23E-12
4244	1	29	6	21	-0.319834234	1.20E-06
4245	1	29	6	22	-0.32098994	1.09E-06
4246	1	29	6	23	-0.609045489	7.95E-24
4247	1	29	6	24	0.28364253	1.86E-05
4248	1	29	6	25	0.265134726	6.58E-05
4249	1	29	6	26	0.439835573	7.18E-12
4250	1	29	7	9	0.132526083	0.049107522
4251	1	29	7	10	0.132960478	0.048363059
4252	1	29	7	11	0.019922944	0.768356366
4253	1	29	7	12	-0.11661932	0.083675616
4254	1	29	7	13	-0.13201711	0.049991923
4255	1	29	7	14	0.086614458	0.199587904
4256	1	29	7	15	0.145538194	0.030553464
4257	1	29	7	16	0.146853227	0.029065525
4258	1	29	7	17	0.021218232	0.753765431
4259	1	29	7	18	0.090362104	0.18074941
4260	1	29	7	19	0.090370002	0.180711144
4261	1	29	7	20	0.025337088	0.707967617
4262	1	29	7	21	-0.157416929	0.01920552
4263	1	29	7	22	-0.149562274	0.026194601
4264	1	29	7	23	0.056183098	0.40589337
4265	1	29	7	24	0.092944781	0.168552395
4266	1	29	7	25	0.093391023	0.166508633
4267	1	29	7	26	0.029297983	0.664892065
4268	1	29	8	9	0.303662595	4.27E-06
4269	1	29	8	10	0.311123708	2.40E-06
4270	1	29	8	11	0.679099213	3.09E-31
4271	1	29	8	12	0.035050731	0.604269234
4272	1	29	8	13	0.002712258	0.968019751
4273	1	29	8	14	-0.699817063	7.71E-34
4274	1	29	8	15	0.305364625	3.75E-06
4275	1	29	8	16	0.311929343	2.25E-06
4276	1	29	8	17	0.685412871	5.25E-32
4277	1	29	8	18	0.223755015	0.000807909
4278	1	29	8	19	0.212696537	0.001470202
4279	1	29	8	20	0.484121936	2.19E-14
4280	1	29	8	21	-0.258743864	9.98E-05
4281	1	29	8	22	-0.25407448	0.000134255
4282	1	29	8	23	-0.801274648	9.36E-51
4283	1	29	8	24	0.221457157	0.000917145
4284	1	29	8	25	0.210510655	0.001649215
4285	1	29	8	26	0.486736862	1.51E-14
4286	1	30	3	6	0.383327645	2.33E-09
4287	1	30	3	7	0.081149719	0.223260565
4288	1	30	3	8	0.346710995	8.22E-08
4289	1	30	3	9	0.548203982	3.30E-19
4290	1	30	3	10	0.54498232	5.84E-19
4291	1	30	3	11	0.456443664	4.41E-13
4292	1	30	3	12	-0.392911163	8.48E-10
4293	1	30	3	13	-0.437969842	4.69E-12
4294	1	30	3	14	-0.445519816	1.82E-12
4295	1	30	3	15	0.540614837	1.25E-18
4296	1	30	3	16	0.544613396	6.24E-19
4297	1	30	3	17	0.441468333	3.03E-12
4298	1	30	3	18	0.487415289	6.01E-15
4299	1	30	3	19	0.475860468	3.14E-14
4300	1	30	3	20	0.426353756	1.93E-11
4301	1	30	3	21	-0.649130364	1.52E-28
4302	1	30	3	22	-0.65004137	1.20E-28
4303	1	30	3	23	-0.454846192	5.44E-13
4304	1	30	3	24	0.486646098	6.72E-15
4305	1	30	3	25	0.47349432	4.37E-14
4306	1	30	3	26	0.419446966	4.36E-11
4307	1	30	3	27	0.556779954	7.01E-20
4308	1	30	3	28	0.43742092	5.02E-12
4309	1	30	3	29	0.27604332	2.46E-05
4310	1	30	3	30	0.62392244	6.83E-26
4311	1	30	3	31	0.278072665	2.13E-05
4312	1	30	3	32	0.406532656	1.91E-10
4313	1	30	3	33	0.593506334	5.39E-23
4314	1	30	3	34	0.376096815	4.87E-09
4315	1	30	3	35	0.351093885	5.49E-08
4316	1	30	3	36	0.215107521	0.001109058
4317	1	30	3	37	-0.209633367	0.001491269
4318	1	30	3	38	-0.273103915	3.02E-05
4319	1	30	4	6	0.350124074	6.01E-08
4320	1	30	4	7	0.156907033	0.01799778
4321	1	30	4	8	0.289527211	9.28E-06
4322	1	30	4	9	0.485603551	7.82E-15
4323	1	30	4	10	0.492052888	3.04E-15
4324	1	30	4	11	0.355758249	3.55E-08
4325	1	30	4	12	-0.353532069	4.38E-08
4326	1	30	4	13	-0.423931913	2.57E-11
4327	1	30	4	14	-0.233420922	0.00039032
4328	1	30	4	15	0.483233011	1.10E-14
4329	1	30	4	16	0.494490543	2.12E-15
4330	1	30	4	17	0.347590523	7.59E-08
4331	1	30	4	18	0.420246554	3.97E-11
4332	1	30	4	19	0.413999827	8.20E-11
4333	1	30	4	20	0.340192717	1.48E-07
4334	1	30	4	21	-0.525627937	1.59E-17
4335	1	30	4	22	-0.521174311	3.30E-17
4336	1	30	4	23	-0.256448841	9.31E-05
4337	1	30	4	24	0.420880978	3.69E-11
4338	1	30	4	25	0.414764681	7.51E-11
4339	1	30	4	26	0.337100379	1.95E-07
4340	1	30	4	27	0.534768274	3.43E-18
4341	1	30	4	28	0.457785037	3.69E-13
4342	1	30	4	29	0.182781118	0.005745229
