	i	j	d	f	o	n
131	1	2	7	21	NA	NA
132	1	2	7	22	NA	NA
133	1	2	7	23	NA	NA
134	1	2	7	24	NA	NA
135	1	2	7	25	NA	NA
136	1	2	7	26	NA	NA
137	1	2	8	9	0.297233886	0.246618868
138	1	2	8	10	0.339695869	0.182204017
139	1	2	8	11	0.127385951	0.626107837
140	1	2	8	12	0.010615496	0.967745743
141	1	2	8	13	-0.069173546	0.791933325
142	1	2	8	14	-0.745738588	0.000588726
143	1	2	8	15	0.321118752	0.208837775
144	1	2	8	16	0.339695869	0.182204017
145	1	2	8	17	0.127385951	0.626107837
146	1	2	8	18	0.464427947	0.060362756
147	1	2	8	19	0.238848658	0.355877803
148	1	2	8	20	0.48035119	0.050984225
149	1	2	8	21	-0.676737865	0.002849866
150	1	2	8	22	-0.663468495	0.003688342
151	1	2	8	23	-0.748392462	0.000548801
152	1	2	8	24	0.464427947	0.060362756
153	1	2	8	25	0.238848658	0.355877803
154	1	2	8	26	0.48035119	0.050984225
155	1	3	3	6	0.436509462	0.061689659
156	1	3	3	7	NA	NA
157	1	3	3	8	0.244824872	0.312399613
158	1	3	3	9	0.06055288	0.805488392
159	1	3	3	10	0.031592807	0.897838609
160	1	3	3	11	-0.030715229	0.900662865
161	1	3	3	12	-0.019306715	0.937470451
162	1	3	3	13	-0.110695154	0.651886625
163	1	3	3	14	-0.095655999	0.696874146
164	1	3	3	15	0.046511632	0.850032262
165	1	3	3	16	0.031592807	0.897838609
166	1	3	3	17	-0.030715229	0.900662865
167	1	3	3	18	-0.218516914	0.368780409
168	1	3	3	19	-0.16849497	0.490479273
169	1	3	3	20	-0.291355886	0.226184108
170	1	3	3	21	-0.188679263	0.439174975
171	1	3	3	22	-0.183413796	0.452281094
172	1	3	3	23	-0.058797724	0.811027965
173	1	3	3	24	-0.218516914	0.368780409
174	1	3	3	25	-0.16849497	0.490479273
175	1	3	3	26	-0.291355886	0.226184108
176	1	3	3	27	0.05048288	0.837383898
177	1	3	3	28	-0.033459785	0.891834177
178	1	3	3	29	0.072431958	0.768241061
179	1	3	3	30	0.186373788	0.444888905
180	1	3	3	31	NA	NA
181	1	3	3	32	0.119560544	0.625885005
182	1	3	3	33	0.257682177	0.286841645
183	1	3	3	34	0.215260175	0.376136064
184	1	3	3	35	0.088235294	0.719445611
185	1	3	3	36	0.167251975	0.493731188
186	1	3	3	37	0.045634054	0.852832182
187	1	3	3	38	-0.146555521	0.549373514
188	1	3	4	6	0.279192976	0.247045319
189	1	3	4	7	NA	NA
190	1	3	4	8	0.046532163	0.849966781
191	1	3	4	9	0.172132593	0.481023034
192	1	3	4	10	0.215165741	0.376350569
193	1	3	4	11	0.25819889	0.285842171
194	1	3	4	12	0.129099445	0.598373336
195	1	3	4	13	-0.088261418	0.719365746
196	1	3	4	14	0	1
197	1	3	4	15	0.172132593	0.481023034
198	1	3	4	16	0.215165741	0.376350569
199	1	3	4	17	0.25819889	0.285842171
200	1	3	4	18	-0.215165741	0.376350569
201	1	3	4	19	-0.172132593	0.481023034
202	1	3	4	20	-0.25819889	0.285842171
203	1	3	4	21	-0.301232038	0.210111462
204	1	3	4	22	-0.25819889	0.285842171
205	1	3	4	23	-0.043033148	0.861140175
206	1	3	4	24	-0.215165741	0.376350569
207	1	3	4	25	-0.172132593	0.481023034
208	1	3	4	26	-0.25819889	0.285842171
209	1	3	4	27	-0.043052035	0.861079795
210	1	3	4	28	-0.174018193	0.476157066
211	1	3	4	29	-0.08610407	0.725970377
212	1	3	4	30	0.344870754	0.148175497
213	1	3	4	31	NA	NA
214	1	3	4	32	0.172435377	0.480240018
215	1	3	4	33	0.17220814	0.480827608
216	1	3	4	34	-0.055555556	0.821283269
217	1	3	4	35	-0.043052035	0.861079795
218	1	3	4	36	0.258312209	0.285623264
219	1	3	4	37	-0.086066297	0.726086185
220	1	3	4	38	-0.129099445	0.598373336
221	1	3	5	6	0.597828176	0.006863846
222	1	3	5	7	NA	NA
223	1	3	5	8	0.780023429	8.19E-05
224	1	3	5	9	0.081614751	0.739773267
225	1	3	5	10	0.131636695	0.591140499
226	1	3	5	11	-0.155331301	0.525441355
227	1	3	5	12	-0.105309356	0.667875127
228	1	3	5	13	-0.117894839	0.630739429
229	1	3	5	14	-0.97674428	8.33E-13
230	1	3	5	15	0.106186934	0.665260333
231	1	3	5	16	0.131636695	0.591140499
232	1	3	5	17	-0.155331301	0.525441355
233	1	3	5	18	0.408073756	0.082842145
234	1	3	5	19	0.29837651	0.21467918
235	1	3	5	20	0.440544141	0.059053605
236	1	3	5	21	-0.490566085	0.032963661
237	1	3	5	22	-0.455462966	0.050038276
238	1	3	5	23	-0.992540684	5.57E-17
239	1	3	5	24	0.408073756	0.082842145
240	1	3	5	25	0.29837651	0.21467918
241	1	3	5	26	0.440544141	0.059053605
242	1	3	5	27	0.459613696	0.047727072
243	1	3	5	28	0.114574414	0.640459427
244	1	3	5	29	0.804653205	3.27E-05
245	1	3	5	30	0.434286092	0.063179562
246	1	3	5	31	NA	NA
247	1	3	5	32	0.828132588	1.20E-05
248	1	3	5	33	0.119841967	0.625066289
249	1	3	5	34	0.215260175	0.376136064
250	1	3	5	35	0.805531168	3.15E-05
251	1	3	5	36	0.716856892	0.000552809
252	1	3	5	37	0.136902163	0.576248432
253	1	3	5	38	-0.278192216	0.248814452
254	1	3	6	9	0.34715734	0.145327069
255	1	3	6	10	0.385098033	0.103491969
256	1	3	6	11	0.191600499	0.431990301
257	1	3	6	12	0.160299427	0.51211169
258	1	3	6	13	-0.072953195	0.766617162
259	1	3	6	14	-0.518838975	0.022835554
260	1	3	6	15	0.3613851	0.128456068
261	1	3	6	16	0.385098033	0.103491969
262	1	3	6	17	0.191600499	0.431990301
263	1	3	6	18	0.281709645	0.242631829
264	1	3	6	19	0.076829903	0.754569007
265	1	3	6	20	0.354745478	0.136147791
266	1	3	6	21	-0.736997959	0.000318568
267	1	3	6	22	-0.742689063	0.000270223
268	1	3	6	23	-0.556779668	0.013281998
269	1	3	6	24	0.281709645	0.242631829
270	1	3	6	25	0.076829903	0.754569007
271	1	3	6	26	0.354745478	0.136147791
272	1	3	7	9	NA	NA
273	1	3	7	10	NA	NA
274	1	3	7	11	NA	NA
275	1	3	7	12	NA	NA
276	1	3	7	13	NA	NA
277	1	3	7	14	NA	NA
278	1	3	7	15	NA	NA
279	1	3	7	16	NA	NA
280	1	3	7	17	NA	NA
281	1	3	7	18	NA	NA
282	1	3	7	19	NA	NA
283	1	3	7	20	NA	NA
284	1	3	7	21	NA	NA
285	1	3	7	22	NA	NA
286	1	3	7	23	NA	NA
287	1	3	7	24	NA	NA
288	1	3	7	25	NA	NA
289	1	3	7	26	NA	NA
290	1	3	8	9	0.227644157	0.348603881
291	1	3	8	10	0.261790781	0.278953574
292	1	3	8	11	0.041734762	0.865292855
293	1	3	8	12	-0.010433691	0.966185632
294	1	3	8	13	-0.172169539	0.480927456
295	1	3	8	14	-0.727512786	0.000415409
296	1	3	8	15	0.245665986	0.310687265
297	1	3	8	16	0.261790781	0.278953574
298	1	3	8	17	0.041734762	0.865292855
299	1	3	8	18	0.406913931	0.083805353
300	1	3	8	19	0.205828259	0.397897367
301	1	3	8	20	0.500817146	0.02895306
302	1	3	8	21	-0.714233543	0.000591965
303	1	3	8	22	-0.700954301	0.000827953
304	1	3	8	23	-0.750277202	0.000215554
305	1	3	8	24	0.406913931	0.083805353
306	1	3	8	25	0.205828259	0.397897367
307	1	3	8	26	0.500817146	0.02895306
308	1	4	3	6	0.163107259	0.468290842
309	1	4	3	7	NA	NA
310	1	4	3	8	-0.03973886	0.860623526
311	1	4	3	9	-0.018638803	0.934386354
312	1	4	3	10	-0.012425869	0.956232246
313	1	4	3	11	-0.089240331	0.692893965
314	1	4	3	12	0.216323081	0.333577565
315	1	4	3	13	0.176779549	0.431283317
316	1	4	3	14	0.108443947	0.630959111
317	1	4	3	15	-0.006212934	0.97810852
318	1	4	3	16	-0.007907371	0.972140117
319	1	4	3	17	-0.089240331	0.692893965
320	1	4	3	18	-0.023722113	0.916545608
321	1	4	3	19	-0.020898052	0.926452882
322	1	4	3	20	-0.07624965	0.735922623
323	1	4	3	21	0.098277327	0.663482415
324	1	4	3	22	0.1016662	0.652572538
325	1	4	3	23	0.110703196	0.623817788
326	1	4	3	24	-0.01016662	0.964184537
327	1	4	3	25	-0.020898052	0.926452882
328	1	4	3	26	-0.07624965	0.735922623
329	1	4	3	27	0.133615819	0.553315408
330	1	4	3	28	0.063522012	0.778835819
331	1	4	3	29	-0.049435028	0.827063601
332	1	4	3	30	0.025445302	0.910506156
333	1	4	3	31	NA	NA
334	1	4	3	32	-0.04919425	0.827893697
335	1	4	3	33	0.159039548	0.479605159
336	1	4	3	34	0.223636875	0.31708478
337	1	4	3	35	-0.074293785	0.74247136
338	1	4	3	36	0.211016949	0.345856298
339	1	4	3	37	0.023157301	0.918526152
340	1	4	3	38	-0.159277047	0.4789408
341	1	4	4	6	0.16253857	0.469864397
342	1	4	4	7	NA	NA
343	1	4	4	8	-0.018059841	0.936420408
344	1	4	4	9	0.120385853	0.593585925
345	1	4	4	10	0.189177769	0.399127638
346	1	4	4	11	0.189177769	0.399127638
347	1	4	4	12	0.154781811	0.491593652
348	1	4	4	13	-0.017476507	0.938470209
349	1	4	4	14	0.051593937	0.819628704
350	1	4	4	15	0.154781811	0.491593652
351	1	4	4	16	0.189177769	0.399127638
352	1	4	4	17	0.189177769	0.399127638
353	1	4	4	18	-0.154781811	0.491593652
354	1	4	4	19	-0.120385853	0.593585925
355	1	4	4	20	-0.189177769	0.399127638
356	1	4	4	21	-0.189177769	0.399127638
357	1	4	4	22	-0.154781811	0.491593652
358	1	4	4	23	0.017197979	0.939449073
359	1	4	4	24	-0.154781811	0.491593652
360	1	4	4	25	-0.120385853	0.593585925
361	1	4	4	26	-0.189177769	0.399127638
362	1	4	4	27	-0.017202837	0.939432001
363	1	4	4	28	-0.14558367	0.517989916
364	1	4	4	29	-0.120419856	0.59348086
365	1	4	4	30	0.292696374	0.186200834
366	1	4	4	31	NA	NA
367	1	4	4	32	0.086087169	0.703260137
368	1	4	4	33	0.154825529	0.491469808
369	1	4	4	34	-0.047619048	0.833328637
370	1	4	4	35	-0.086014183	0.703500694
371	1	4	4	36	0.223636875	0.31708478
372	1	4	4	37	-0.120385853	0.593585925
373	1	4	4	38	-0.154781811	0.491593652
374	1	4	5	6	0.632856166	0.001572463
375	1	4	5	7	NA	NA
376	1	4	5	8	0.825026173	2.31E-06
377	1	4	5	9	0.182434348	0.416448765
378	1	4	5	10	0.204462025	0.361386023
379	1	4	5	11	-0.005648122	0.980098255
380	1	4	5	12	-0.351878015	0.108282248
381	1	4	5	13	-0.359298693	0.100535487
382	1	4	5	14	-0.962440027	8.64E-13
383	1	4	5	15	0.189212095	0.399040507
384	1	4	5	16	0.205591649	0.358681409
385	1	4	5	17	-0.005648122	0.980098255
386	1	4	5	18	0.276757989	0.212446263
387	1	4	5	19	0.215193457	0.336169578
388	1	4	5	20	0.28974867	0.190879402
389	1	4	5	21	-0.607737951	0.002698011
390	1	4	5	22	-0.584015838	0.004319872
391	1	4	5	23	-0.98616214	4.39E-17
392	1	4	5	24	0.266591369	0.230415438
393	1	4	5	25	0.215193457	0.336169578
394	1	4	5	26	0.28974867	0.190879402
395	1	4	5	27	0.343220339	0.11786069
396	1	4	5	28	-0.019807939	0.930280074
397	1	4	5	29	0.839265537	1.05E-06
398	1	4	5	30	0.523042314	0.012497874
399	1	4	5	31	NA	NA
400	1	4	5	32	0.857789395	3.35E-07
401	1	4	5	33	0.206497175	0.35652185
402	1	4	5	34	0.154825529	0.491469808
403	1	4	5	35	0.844350282	7.79E-07
404	1	4	5	36	0.577683616	0.0048695
405	1	4	5	37	0.205026837	0.360032245
406	1	4	5	38	-0.208980522	0.350638318
407	1	4	6	9	0.423959128	0.049257856
408	1	4	6	10	0.425737978	0.048212824
409	1	4	6	11	0.287580668	0.194370949
410	1	4	6	12	-0.152981056	0.496708283
411	1	4	6	13	-0.298866229	0.176662682
412	1	4	6	14	-0.609552425	0.002598682
413	1	4	6	15	0.436411075	0.042298589
414	1	4	6	16	0.446491222	0.037247752
415	1	4	6	17	0.287580668	0.194370949
416	1	4	6	18	0.095464923	0.672586832
417	1	4	6	19	-0.037948789	0.866846467
418	1	4	6	20	0.135785511	0.546831233
419	1	4	6	21	-0.769648879	2.82E-05
420	1	4	6	22	-0.776764277	2.13E-05
421	1	4	6	23	-0.620225522	0.002074603
422	1	4	6	24	0.093093123	0.680299551
423	1	4	6	25	-0.037948789	0.866846467
424	1	4	6	26	0.135785511	0.546831233
425	1	4	7	9	NA	NA
426	1	4	7	10	NA	NA
427	1	4	7	11	NA	NA
428	1	4	7	12	NA	NA
429	1	4	7	13	NA	NA
430	1	4	7	14	NA	NA
431	1	4	7	15	NA	NA
432	1	4	7	16	NA	NA
433	1	4	7	17	NA	NA
434	1	4	7	18	NA	NA
435	1	4	7	19	NA	NA
436	1	4	7	20	NA	NA
437	1	4	7	21	NA	NA
438	1	4	7	22	NA	NA
439	1	4	7	23	NA	NA
440	1	4	7	24	NA	NA
441	1	4	7	25	NA	NA
442	1	4	7	26	NA	NA
443	1	4	8	9	0.331458955	0.13183515
444	1	4	8	10	0.322564708	0.143161873
445	1	4	8	11	0.192708695	0.390220338
446	1	4	8	12	-0.355769898	0.104166837
447	1	4	8	13	-0.460350401	0.031090122
448	1	4	8	14	-0.819456665	3.08E-06
449	1	4	8	15	0.330866005	0.132569684
450	1	4	8	16	0.338574353	0.12324652
451	1	4	8	17	0.192708695	0.390220338
452	1	4	8	18	0.187965096	0.402212618
453	1	4	8	19	0.087756575	0.697765408
454	1	4	8	20	0.233029283	0.296643116
455	1	4	8	21	-0.80285407	6.89E-06
456	1	4	8	22	-0.793366873	1.06E-05
457	1	4	8	23	-0.825386163	2.26E-06
458	1	4	8	24	0.180849698	0.420577573
459	1	4	8	25	0.087756575	0.697765408
460	1	4	8	26	0.233029283	0.296643116
461	1	5	3	6	0.161355419	0.403040366
462	1	5	3	7	NA	NA
463	1	5	3	8	0.106960075	0.580777474
464	1	5	3	9	-0.071956638	0.7106861
465	1	5	3	10	-0.057663881	0.766376884
466	1	5	3	11	-0.194677205	0.311548444
467	1	5	3	12	0.4618039	0.011673193
468	1	5	3	13	0.45509632	0.013116721
469	1	5	3	14	-0.107934956	0.577313981
470	1	5	3	15	-0.075406613	0.69744694
471	1	5	3	16	-0.05618532	0.77220892
472	1	5	3	17	-0.194677205	0.311548444
473	1	5	3	18	-0.22079845	0.249728688
474	1	5	3	19	-0.236076914	0.217609638
475	1	5	3	20	-0.048792515	0.801545571
476	1	5	3	21	0.013307049	0.945378574
477	1	5	3	22	0.011828488	0.951440106
478	1	5	3	23	-0.282898014	0.137012355
479	1	5	3	24	-0.209462815	0.275480565
480	1	5	3	25	-0.236076914	0.217609638
481	1	5	3	26	-0.048792515	0.801545571
482	1	5	3	27	0.335921157	0.07481467
483	1	5	3	28	0.251395153	0.188342393
484	1	5	3	29	0.251632796	0.187911104
485	1	5	3	30	0.058678501	0.762382006
486	1	5	3	31	NA	NA
487	1	5	3	32	0.15581854	0.419582223
488	1	5	3	33	0.037461494	0.847013854
489	1	5	3	34	0.225988327	0.238486481
490	1	5	3	35	0.129636485	0.502703045
491	1	5	3	36	0.35317316	0.060201981
492	1	5	3	37	-0.117560082	0.543622015
493	1	5	3	38	-0.382947311	0.040322382
