	a.i.	length.patient.	mean.d.JMJD1C.	median.d.JMJD1C.	sum.d.JMJD1C.	mean.e.IFNG.	median.e.IFNG.	sum.e.IFNG.	mean.f.STAT3_mean.	median.f.STAT3_mean.	sum.f.STAT3_mean.	mean.f.STAT3_median.	median.f.STAT3_median.	sum.f.STAT3_median.	mean.f.STAT3_sum.	median.f.STAT3_sum.	sum.f.STAT3_sum.	mean.f.PI3K_mean.	median.f.PI3K_mean.	sum.f.PI3K_mean.	mean.f.PI3K_median.	median.f.PI3K_median.	sum.f.PI3K_median.	mean.f.PI3K_sum.	median.f.PI3K_sum.	sum.f.PI3K_sum.	mean.o.GZMB.	median.o.GZMB.	sum.o.GZMB.	mean.p.TNF.	median.p.TNF.	sum.p.TNF.	mean.q.IFNG.	median.q.IFNG.	sum.q.IFNG.	Treg_frequence	CD8_frequence	CD8_ratio	mean.d.JMJD1C.	median.d.JMJD1C.	sum.d.JMJD1C.	mean.e.IFNG.	median.e.IFNG.	sum.e.IFNG.	mean.f.STAT3_mean.	median.f.STAT3_mean.	sum.f.STAT3_mean.	mean.f.STAT3_median.	median.f.STAT3_median.	sum.f.STAT3_median.	mean.f.STAT3_sum.	median.f.STAT3_sum.	sum.f.STAT3_sum.	mean.f.PI3K_mean.	median.f.PI3K_mean.	sum.f.PI3K_mean.	mean.f.PI3K_median.	median.f.PI3K_median.	sum.f.PI3K_median.	mean.f.PI3K_sum.	median.f.PI3K_sum.	sum.f.PI3K_sum.	mean.o.GZMB.	median.o.GZMB.	sum.o.GZMB.	mean.p.TNF.	median.p.TNF.	sum.p.TNF.	mean.q.IFNG.	median.q.IFNG.	sum.q.IFNG.	Treg_frequence	CD8_frequence	CD8_ratio
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	AML.PeterVanGalen2019.sce.rds	6	0.285099861	-0.499685082	1.140399444	-0.125579658	-0.125579658	-0.502318632	-0.019177928	-0.031226058	-0.076711711	-0.017523361	-0.016450747	-0.070093446	-1.668479706	-2.716667027	-6.673918826	0.006476812	0.016946717	0.025907247	-0.056741951	-0.054534121	-0.226967805	0.680065233	1.779405254	2.720260933	-0.107399955	-0.107399955	-0.751799686	-0.154615488	-0.154615488	-1.082308417	0.730806215	-0.125579658	5.115643505	0.19047619	0.25	1.75	0.700081076	0	2.800324303	0	0	0	-0.019177928	-0.031226058	-0.076711711	-0.017523361	-0.016450747	-0.070093446	-1.668479706	-2.716667027	-6.673918826	0.006476812	0.016946717	0.025907247	-0.056741951	-0.054534121	-0.226967805	0.680065233	1.779405254	2.720260933	0	0	0	0	0	0	0.232749797	0	1.629248579	0.19047619	0.25	1.75
3	AML.PeterVanGalen2019.sce.rds	6	0.025416732	-0.499685082	1.067502755	-0.125579658	-0.125579658	-5.274345636	-0.022345184	-0.025131384	-0.93849771	-0.008562947	0	-0.359643762	-1.944030972	-2.186430435	-81.64930081	-0.009829952	-0.01655107	-0.412857966	-0.052150843	-0.051434678	-2.190335412	-1.032144914	-1.737862328	-43.35008638	-0.019259011	-0.107399955	-4.410313473	0.008651522	-0.154615488	1.981198586	-0.030354257	-0.125579658	-6.951124921	0.102439024	0.358372457	5.452380952	0.468426218	0	19.67390116	0	0	0	-0.022345184	-0.025131384	-0.93849771	-0.008562947	0	-0.359643762	-1.944030972	-2.186430435	-81.64930081	-0.009829952	-0.01655107	-0.412857966	-0.052150843	-0.051434678	-2.190335412	-1.032144914	-1.737862328	-43.35008638	0.02111278	0	4.834826585	0.047770719	0	10.93949461	0.025880498	0	5.926633991	0.102439024	0.358372457	5.452380952
4	AML.PeterVanGalen2019.sce.rds	6	-0.499685082	-0.499685082	-0.499685082	-0.125579658	-0.125579658	-0.125579658	-0.00472911	-0.00472911	-0.00472911	-0.019013253	-0.019013253	-0.019013253	-0.411432592	-0.411432592	-0.411432592	0.007435502	0.007435502	0.007435502	-0.066976937	-0.066976937	-0.066976937	0.780727738	0.780727738	0.780727738	-0.107399955	-0.107399955	-1.396199416	-0.154615488	-0.154615488	-2.010001346	0.562820697	-0.125579658	7.316669058	0.058823529	0.433333333	13	0	0	0	0	0	0	-0.00472911	-0.00472911	-0.00472911	-0.019013253	-0.019013253	-0.019013253	-0.411432592	-0.411432592	-0.411432592	0.007435502	0.007435502	0.007435502	-0.066976937	-0.066976937	-0.066976937	0.780727738	0.780727738	0.780727738	0	0	0	0	0	0	0.187094449	0	2.432227834	0.058823529	0.433333333	13
5	AML.PeterVanGalen2019.sce.rds	6	-0.004004812	-0.499685082	-0.112134724	-0.125579658	-0.125579658	-3.516230424	-0.046884617	-0.055859227	-1.312769284	-0.009239038	-0.005605541	-0.258693064	-4.078961703	-4.859752716	-114.2109277	-0.002268388	0.003825722	-0.063514869	-0.058848618	-0.061772493	-1.647761305	-0.238180759	0.401700795	-6.669061264	0.189876514	-0.107399955	12.91160296	-0.052588627	-0.154615488	-3.576026666	-0.125579658	-0.125579658	-8.539416744	0.21875	0.346938776	2.428571429	0.442180218	0	12.38104609	0	0	0	-0.046884617	-0.055859227	-1.312769284	-0.009239038	-0.005605541	-0.258693064	-4.078961703	-4.859752716	-114.2109277	-0.002268388	0.003825722	-0.063514869	-0.058848618	-0.061772493	-1.647761305	-0.238180759	0.401700795	-6.669061264	0.081465672	0	5.539665724	0.029852304	0	2.029956692	0	0	0	0.21875	0.346938776	2.428571429
6	AML.PeterVanGalen2019.sce.rds	6	-0.019667925	-0.499685082	-0.865388688	-0.125579658	-0.125579658	-5.525504952	0.003504226	-0.001163867	0.154185935	-0.008107922	0	-0.356748562	0.304867645	-0.101256447	13.41417637	-0.000424093	0.002262202	-0.018660102	-0.062605452	-0.06349125	-2.754639906	-0.044529788	0.237531203	-1.959310661	-0.054381719	-0.107399955	-14.84620927	-0.096334334	-0.154615488	-26.29927317	0.157474252	-0.125579658	42.99047089	0.200913242	0.554878049	6.204545455	0.428207665	0	18.84113725	0	0	0	0.003504226	-0.001163867	0.154185935	-0.008107922	0	-0.356748562	0.304867645	-0.101256447	13.41417637	-0.000424093	0.002262202	-0.018660102	-0.062605452	-0.06349125	-2.754639906	-0.044529788	0.237531203	-1.959310661	0.012699686	0	3.467014376	0.017052634	0	4.655369179	0.078744993	0	21.4973831	0.200913242	0.554878049	6.204545455
7	AML.PeterVanGalen2019.sce.rds	6	-0.499685082	-0.499685082	-0.499685082	-0.125579658	-0.125579658	-0.125579658	-0.05532033	-0.05532033	-0.05532033	0	0	0	-4.812868707	-4.812868707	-4.812868707	-0.06684444	-0.06684444	-0.06684444	-0.051006874	-0.051006874	-0.051006874	-7.018666157	-7.018666157	-7.018666157	1.777135248	-0.107399955	7.108540993	-0.154615488	-0.154615488	-0.618461953	-0.125579658	-0.125579658	-0.502318632	0.166666667	0.4	4	0	0	0	0	0	0	-0.05532033	-0.05532033	-0.05532033	0	0	0	-4.812868707	-4.812868707	-4.812868707	-0.06684444	-0.06684444	-0.06684444	-0.051006874	-0.051006874	-0.051006874	-7.018666157	-7.018666157	-7.018666157	0.451410831	0	1.805643322	0	0	0	0	0	0	0.166666667	0.4	4
8	BCC.KathrynEYost2019.sce.rds	11	-0.02825723	-0.738413508	-15.99359229	-0.378401538	-0.385873544	-214.1752707	-0.011375637	-0.013240096	-6.43861028	-0.01271592	-0.011544472	-7.197210941	-0.966929106	-1.125408132	-547.2818738	-0.000647416	-0.000847655	-0.366437567	-0.074424558	-0.072996057	-42.12430002	-0.066683868	-0.087308498	-37.74306941	0.113430377	-0.614671921	161.0711354	-0.334470715	-0.386726976	-474.948415	-0.252050822	-0.385873544	-357.9121679	0.372123603	0.48282897	2.508833922	0.47004415	0	266.0449888	0.005433764	0	3.07551051	-0.011375637	-0.013240096	-6.43861028	-0.01271592	-0.011544472	-7.197210941	-0.966929106	-1.125408132	-547.2818738	-0.000647416	-0.000847655	-0.366437567	-0.074424558	-0.072996057	-42.12430002	-0.066683868	-0.087308498	-37.74306941	0.842032039	0	1195.685495	0.033059606	0	46.94464021	0.097318067	0	138.1916558	0.372123603	0.48282897	2.508833922
9	BCC.KathrynEYost2019.sce.rds	11	0.151068139	-0.738413508	1.963885802	-0.255855448	-0.385873544	-3.326120823	0.033898459	0.024695163	0.44067997	-0.005413798	0	-0.070379372	2.881369034	2.099088844	37.45779744	-0.000867091	-0.017963926	-0.011272187	-0.06963781	-0.072097465	-0.905291535	-0.089310408	-1.850284372	-1.161035309	1.07369704	1.372413316	88.04315728	-0.240463053	-0.386726976	-19.71797032	0.065648974	-0.385873544	5.383215871	0.166666667	0.5125	6.307692308	0.588737518	0	7.653587734	0.094551282	0	1.229166663	0.033898459	0.024695163	0.44067997	-0.005413798	0	-0.070379372	2.881369034	2.099088844	37.45779744	-0.000867091	-0.017963926	-0.011272187	-0.06963781	-0.072097465	-0.905291535	-0.089310408	-1.850284372	-1.161035309	1.95255634	2.298014219	160.1096199	0.092532982	0	7.587704519	0.328354546	0	26.92507279	0.166666667	0.5125	6.307692308
10	BCC.KathrynEYost2019.sce.rds	11	-0.080534857	-0.738413508	-1.369092568	-0.385873544	-0.385873544	-6.55985024	0.022911719	0.003278946	0.389499225	-0.008420354	-0.007921629	-0.143146019	1.947496126	0.278710443	33.10743414	0.009084989	0.009826261	0.154444811	-0.066013311	-0.065232782	-1.12222629	0.935753857	1.012104905	15.90781557	-0.078060236	-0.614671921	-4.059132268	-0.146581016	-0.386726976	-7.622212815	-0.013818287	-0.385873544	-0.718550905	0.274193548	0.456140351	3.058823529	0.435442199	0	7.402517382	0	0	0	0.022911719	0.003278946	0.389499225	-0.008420354	-0.007921629	-0.143146019	1.947496126	0.278710443	33.10743414	0.009084989	0.009826261	0.154444811	-0.066013311	-0.065232782	-1.12222629	0.935753857	1.012104905	15.90781557	0.620577949	0	32.27005337	0.151926882	0	7.900197869	0.270564657	0	14.06936216	0.274193548	0.456140351	3.058823529
