	a.i.	length.patient.	mean.d.JMJD1C.	median.d.JMJD1C.	sum.d.JMJD1C.	mean.e.IFNG.	median.e.IFNG.	sum.e.IFNG.	mean.f.STAT3_mean.	median.f.STAT3_mean.	sum.f.STAT3_mean.	mean.f.STAT3_median.	median.f.STAT3_median.	sum.f.STAT3_median.	mean.f.STAT3_sum.	median.f.STAT3_sum.	sum.f.STAT3_sum.	mean.f.PI3K_mean.	median.f.PI3K_mean.	sum.f.PI3K_mean.	mean.f.PI3K_median.	median.f.PI3K_median.	sum.f.PI3K_median.	mean.f.PI3K_sum.	median.f.PI3K_sum.	sum.f.PI3K_sum.	mean.o.GZMB.	median.o.GZMB.	sum.o.GZMB.	mean.p.TNF.	median.p.TNF.	sum.p.TNF.	mean.q.IFNG.	median.q.IFNG.	sum.q.IFNG.	Treg_frequence	CD8_frequence	CD8_ratio
101	LC.XinyiGuo2018.sce.rds	14	-0.155823997	-0.687747327	-3.116479946	-0.268985005	-0.426737404	-5.379700103	0.243763778	0.212071776	4.87527555	-0.523112485	-0.486612429	-10.46224969	14.38206287	12.51223478	287.6412575	0.254492034	0.238893335	5.089840675	-0.623888175	-0.616918532	-12.47776349	23.41326711	21.9781868	468.2653421	0.671050532	1.026080406	90.59182188	-0.225276978	-0.48841639	-30.41239205	-0.354868181	-0.426737404	-47.90720437	0.093896714	0.387931034	6.75
102	LC.XinyiGuo2018.sce.rds	14	-0.190345915	-0.926704187	-1.14207549	-0.426737404	-0.426737404	-2.560424426	0.238376823	0.338422939	1.430260939	-0.518953792	-0.482289863	-3.113722752	14.06423257	19.9669534	84.38539543	0.183978015	0.048791509	1.103868089	-0.610602519	-0.625588124	-3.663615111	16.92597736	4.488818838	101.5558641	0.826735265	1.253183599	97.55476129	0.151708609	-0.48841639	17.9016159	-0.035877607	-0.426737404	-4.233557589	0.2	0.797297297	19.66666667
103	LC.XinyiGuo2018.sce.rds	14	0.413567049	0.802618152	54.59085053	-0.380355222	-0.426737404	-50.20688929	0.745252891	0.769540869	98.37338163	-0.12541373	-0.187182529	-16.55461239	43.96992058	45.40291128	5804.029516	0.348692899	0.328922037	46.0274627	-0.410130391	-0.451144714	-54.13721166	32.07974673	30.26082739	4234.526569	0.640112029	0.919964875	109.4591569	-0.036504154	-0.48841639	-6.242210271	0.049647663	-0.426737404	8.489750378	0.50965251	0.397674419	1.295454545
104	LC.XinyiGuo2018.sce.rds	14	-0.258206982	-0.926704187	-28.66097503	-0.39427999	-0.426737404	-43.76507888	0.702811232	0.676094305	78.01204678	-0.333022554	-0.321206929	-36.96550354	41.4658627	39.88956399	4602.71076	0.387522427	0.400253408	43.01498938	-0.516276533	-0.526267115	-57.30669513	35.65206327	36.82331357	3957.379023	1.113975867	1.57705462	171.5522835	-0.03206028	-0.48841639	-4.937283074	0.774814451	0.081264072	119.3214255	0.423664122	0.370192308	1.387387387
105	LC.XinyiGuo2018.sce.rds	14	-0.054981268	-0.592176817	-6.267864585	-0.274830226	-0.426737404	-31.33064579	0.493940933	0.504997538	56.30926637	-0.257228735	-0.272072591	-29.32407584	29.14251505	29.79485477	3322.246716	0.128129892	0.127297245	14.60680772	-0.538264501	-0.541608599	-61.36215312	11.78795009	11.71134658	1343.826311	1.117234363	1.458685017	216.7434663	0.092614441	-0.48841639	17.96720164	1.231843131	0.51848113	238.9775675	0.346504559	0.370936902	1.701754386
106	LC.XinyiGuo2018.sce.rds	14	-0.118957195	-0.926704187	-3.449758662	-0.415341511	-0.426737404	-12.04490383	0.641091535	0.591001932	18.59165451	-0.359923713	-0.352210097	-10.43778768	37.82440056	34.869114	1096.907616	0.28567687	0.249772979	8.284629244	-0.557372571	-0.54109571	-16.16380456	26.28227208	22.9791141	762.1858905	-0.074997821	-0.628271387	-5.099851851	-0.145576688	-0.48841639	-9.89921479	-0.159131703	-0.426737404	-10.82095578	0.325842697	0.433121019	2.344827586
107	LC.XinyiGuo2018.sce.rds	14	0.206984456	0.169762823	7.24445596	-0.187106034	-0.426737404	-6.5487112	0.574169834	0.504575467	20.0959442	-0.295388378	-0.355306457	-10.33859325	33.87602022	29.76995257	1185.660708	0.276104488	0.201868604	9.663657069	-0.556262433	-0.537505148	-19.46918517	25.40161287	18.57191156	889.0564504	0.716687352	1.136769061	53.75155137	0.305362802	-0.48841639	22.90221015	2.110238862	2.655488169	158.2679146	0.197740113	0.297619048	2.142857143
108	LC.XinyiGuo2018.sce.rds	14	0.285664956	0.501897042	37.99343911	-0.379507448	-0.426737404	-50.47449058	0.836538891	0.797777174	111.2596726	0.000303307	-0.143366849	0.040339875	49.3557946	47.06885327	6564.320681	0.305672633	0.300278923	40.65446014	-0.43145626	-0.457203188	-57.38368254	28.1218822	27.62566093	3740.210333	0.774112151	1.06189342	184.238692	0.358325747	-0.157404669	85.28152783	0.509562766	-0.102027061	121.2759383	0.40060241	0.41754386	1.789473684
109	LC.XinyiGuo2018.sce.rds	14	0.076597509	-0.926704187	5.13203313	-0.360907965	-0.426737404	-24.18083368	0.294808387	0.315888856	19.75216195	-0.482580625	-0.511168858	-32.33290188	17.39369485	18.63744248	1165.377555	0.224951185	0.197848058	15.07172941	-0.631812907	-0.641554306	-42.33146474	20.69550904	18.2020213	1386.599106	0.41313096	0.866594872	64.44842977	-0.185389789	-0.48841639	-28.92080711	0.281770019	-0.426737404	43.95612298	0.248148148	0.366197183	2.328358209
110	LC.XinyiGuo2018.sce.rds	14	0.361996053	0.488365719	29.32168025	-0.298351441	-0.426737404	-24.16646674	0.640424705	0.666315792	51.87440112	-0.24551336	-0.271345927	-19.88658212	37.7850576	39.3126317	3060.589666	0.362228618	0.34874345	29.34051806	-0.450232495	-0.453570889	-36.46883206	33.32503285	32.08439739	2699.327661	1.016533315	1.25461164	157.5626638	0.019483351	-0.48841639	3.019919384	0.872005112	0.205820475	135.1607924	0.310344828	0.372596154	1.913580247
