"d"	"f"	"o"	"n"
"167"	5	48	-0.405839724956714	0.424662507561365
"168"	5	49	-0.277218496635164	0.594824388931243
"169"	5	50	-0.173931310695735	0.741733927731628
"170"	5	51	-0.318874069608847	0.537900560470205
"171"	5	52	-0.463816828521959	0.35416429843623
"172"	5	53	-0.753702346348183	0.0835232813732597
"173"	5	54	0	1
"174"	5	55	0.376851173174092	0.461482840350805
"175"	5	56	0.0579771035652448	0.913131785162327
"176"	5	57	0.405839724956714	0.424662507561365
"177"	5	58	0.405839724956714	0.424662507561365
"178"	5	59	0.0579771035652448	0.913131785162327
"179"	5	60	0	1
"180"	5	61	0.376851173174092	0.461482840350805
"181"	5	62	0.0579771035652448	0.913131785162327
"182"	5	63	-0.161764705882353	0.759469456035009
"183"	5	64	NA	NA
"184"	5	65	-0.0147058823529412	0.977942766639528
"185"	5	66	0.154010275908424	0.770811083716923
"186"	5	67	NA	NA
"187"	5	68	-0.0308020551816849	0.953811529208109
"188"	5	69	0.220588235294118	0.674484467229798
"189"	5	70	NA	NA
"190"	5	71	-0.279411764705882	0.591789321697537
"191"	6	9	NA	NA
"192"	6	10	NA	NA
"193"	6	11	NA	NA
"194"	6	12	NA	NA
"195"	6	13	NA	NA
"196"	6	14	NA	NA
"197"	6	15	NA	NA
"198"	6	16	NA	NA
"199"	6	17	NA	NA
"200"	6	18	NA	NA
"201"	6	19	NA	NA
"202"	6	20	NA	NA
"203"	6	21	NA	NA
"204"	6	22	NA	NA
"205"	6	23	NA	NA
"206"	6	24	NA	NA
"207"	6	25	NA	NA
"208"	6	26	NA	NA
"209"	6	45	NA	NA
"210"	6	46	NA	NA
"211"	6	47	NA	NA
"212"	6	48	NA	NA
"213"	6	49	NA	NA
"214"	6	50	NA	NA
"215"	6	51	NA	NA
"216"	6	52	NA	NA
"217"	6	53	NA	NA
"218"	6	54	NA	NA
"219"	6	55	NA	NA
"220"	6	56	NA	NA
"221"	6	57	NA	NA
"222"	6	58	NA	NA
"223"	6	59	NA	NA
"224"	6	60	NA	NA
"225"	6	61	NA	NA
"226"	6	62	NA	NA
"227"	7	9	NA	NA
"228"	7	10	NA	NA
"229"	7	11	NA	NA
"230"	7	12	NA	NA
"231"	7	13	NA	NA
"232"	7	14	NA	NA
"233"	7	15	NA	NA
"234"	7	16	NA	NA
"235"	7	17	NA	NA
"236"	7	18	NA	NA
"237"	7	19	NA	NA
"238"	7	20	NA	NA
"239"	7	21	NA	NA
"240"	7	22	NA	NA
"241"	7	23	NA	NA
"242"	7	24	NA	NA
"243"	7	25	NA	NA
"244"	7	26	NA	NA
"245"	7	45	NA	NA
"246"	7	46	NA	NA
"247"	7	47	NA	NA
"248"	7	48	NA	NA
"249"	7	49	NA	NA
"250"	7	50	NA	NA
"251"	7	51	NA	NA
"252"	7	52	NA	NA
"253"	7	53	NA	NA
"254"	7	54	NA	NA
"255"	7	55	NA	NA
"256"	7	56	NA	NA
"257"	7	57	NA	NA
"258"	7	58	NA	NA
"259"	7	59	NA	NA
"260"	7	60	NA	NA
"261"	7	61	NA	NA
"262"	7	62	NA	NA
"263"	8	9	-0.376851173174092	0.461482840350804
"264"	8	10	-0.347862621391469	0.499253218114633
"265"	8	11	0.0579771035652448	0.913131785162327
"266"	8	12	-0.289885517826224	0.577351787034874
"267"	8	13	-0.523634938088643	0.286336253734027
"268"	8	14	0.927633657043918	0.00766584418747316
"269"	8	15	-0.376851173174092	0.461482840350804
"270"	8	16	-0.347862621391469	0.499253218114633
"271"	8	17	0.0579771035652448	0.913131785162327
"272"	8	18	0.11595420713049	0.826848213385815
"273"	8	19	0.144942758913112	0.784108369602108
"274"	8	20	0.231908414260979	0.658373571260927
"275"	8	21	0.11595420713049	0.826848213385815
"276"	8	22	0.11595420713049	0.826848213385815
"277"	8	23	0.985610760609162	0.000309085667849671
"278"	8	24	0.11595420713049	0.826848213385815
"279"	8	25	0.144942758913112	0.784108369602108
"280"	8	26	0.231908414260979	0.658373571260927
"281"	8	45	-0.376851173174092	0.461482840350804
"282"	8	46	-0.347862621391469	0.499253218114633
"283"	8	47	0.0579771035652448	0.913131785162327
"284"	8	48	-0.289885517826224	0.577351787034874
"285"	8	49	-0.523634938088643	0.286336253734027
"286"	8	50	0.927633657043918	0.00766584418747316
"287"	8	51	-0.376851173174092	0.461482840350804
"288"	8	52	-0.347862621391469	0.499253218114633
"289"	8	53	0.0579771035652448	0.913131785162327
"290"	8	54	0.11595420713049	0.826848213385815
"291"	8	55	0.144942758913112	0.784108369602108
"292"	8	56	0.231908414260979	0.658373571260927
"293"	8	57	0.11595420713049	0.826848213385815
"294"	8	58	0.11595420713049	0.826848213385815
"295"	8	59	0.985610760609162	0.000309085667849671
"296"	8	60	0.11595420713049	0.826848213385815
"297"	8	61	0.144942758913112	0.784108369602108
"298"	8	62	0.231908414260979	0.658373571260927
"299"	3	6	0.605530070819498	0.0483518642946536
"300"	3	7	NA	NA
"301"	3	8	0.327272727272727	0.327015951002671
"302"	3	9	0.154545454545455	0.653538937959263
"303"	3	10	0.2	0.557553078061045
"304"	3	11	0.172727272727273	0.614426013724972
"305"	3	12	0.3	0.371067789395025
"306"	3	13	0.155969866726234	0.646989097896852
"307"	3	14	0.263636363636364	0.434522554208937
"308"	3	15	0.154545454545455	0.653538937959263
"309"	3	16	0.2	0.557553078061045
"310"	3	17	0.172727272727273	0.614426013724972
"311"	3	18	-0.754545454545455	0.0104817749990729
"312"	3	19	-0.790909090909091	0.00606083055140366
"313"	3	20	-0.654545454545455	0.0338251607875948
"314"	3	21	-0.2	0.557553078061045
"315"	3	22	-0.190909090909091	0.576257826919622
"316"	3	23	0.3	0.371067789395025
"317"	3	24	-0.754545454545455	0.0104817749990729
"318"	3	25	-0.790909090909091	0.00606083055140366
"319"	3	26	-0.654545454545455	0.0338251607875948
"320"	3	27	-0.1	0.775664871585324
"321"	3	28	-0.0858116330321033	0.801919446588116
"322"	3	29	-0.290909090909091	0.386434553629285
"323"	3	30	0.236363636363636	0.485475943733222
"324"	3	31	NA	NA
"325"	3	32	0.4	0.225014088667236
"326"	3	33	0.127272727272727	0.713791318994479
"327"	3	34	0.3	0.370083122282068
"328"	3	35	0.209090909090909	0.539113807034715
"329"	3	36	0.0727272727272727	0.83882493483871
"330"	3	37	0.2	0.557553078061045
"331"	3	38	0.218181818181818	0.520948935577084
"332"	3	42	0.605530070819498	0.0483518642946536
"333"	3	43	NA	NA
"334"	3	44	0.0917469804271967	0.788478313421582
"335"	3	45	0.154545454545455	0.653538937959263
"336"	3	46	0.2	0.557553078061045
"337"	3	47	0.172727272727273	0.614426013724972
"338"	3	48	0.3	0.371067789395025
