"a.i."	"length.patient."	"mean.d.JMJD1C."	"median.d.JMJD1C."	"sum.d.JMJD1C."	"mean.e.IFNG."	"median.e.IFNG."	"sum.e.IFNG."	"mean.f.STAT3_mean."	"median.f.STAT3_mean."	"sum.f.STAT3_mean."	"mean.f.STAT3_median."	"median.f.STAT3_median."	"sum.f.STAT3_median."	"mean.f.STAT3_sum."	"median.f.STAT3_sum."	"sum.f.STAT3_sum."	"mean.f.PI3K_mean."	"median.f.PI3K_mean."	"sum.f.PI3K_mean."	"mean.f.PI3K_median."	"median.f.PI3K_median."	"sum.f.PI3K_median."	"mean.f.PI3K_sum."	"median.f.PI3K_sum."	"sum.f.PI3K_sum."	"mean.o.GZMB."	"median.o.GZMB."	"sum.o.GZMB."	"mean.p.TNF."	"median.p.TNF."	"sum.p.TNF."	"mean.q.IFNG."	"median.q.IFNG."	"sum.q.IFNG."	"Treg_frequence"	"CD8_frequence"	"CD8_ratio"
"12"	"MELA.MosheSade-Feldman2018.sce.rds"	32	1.09833333333333	0	6.59	0.488333333333333	0	2.93	0.083801724137931	0.121720114942529	0.502810344827586	-0.0599	-0.05795	-0.3594	7.29075	10.58965	43.7445	0.342244391025641	0.2789375	2.05346634615385	-0.312741666666667	-0.31605	-1.87645	35.5934166666667	29.0095	213.5605	4.02857142857143	0	648.6	0.958198757763975	0	154.27	3.44826086956522	0	555.17	0.1875	0.83419689119171	26.8333333333333
"13"	"MELA.MosheSade-Feldman2018.sce.rds"	32	1.85537037037037	0	100.19	0.172222222222222	0	9.3	0.0959908258833546	0.0787350574712644	5.18350459770115	-0.0723370370370371	-0.06975	-3.9062	8.35120185185185	6.84995	450.9649	0.267028062678063	0.311889903846154	14.4195153846154	-0.485275925925926	-0.4976	-26.2049	27.7709185185185	32.43655	1499.6296	6.36869731800766	9.47	1662.23	1.46214559386973	0	381.62	4.28777777777778	0	1119.11	0.296703296703297	0.589164785553047	4.83333333333333
"14"	"MELA.MosheSade-Feldman2018.sce.rds"	32	5.8732	7.87	146.83	1.0404	0	26.01	0.103902436781609	0.0936655172413793	2.59756091954023	-0.071308	-0.0681	-1.7827	9.039512	8.1489	225.9878	0.250684653846154	0.278351923076923	6.26711634615385	-0.414862	-0.40015	-10.37155	26.071204	28.9486	651.7801	1.47150943396226	0	77.99	2.53094339622641	0	134.14	5.13584905660377	7.58	272.2	0.294117647058824	0.384057971014493	2.12
"15"	"MELA.MosheSade-Feldman2018.sce.rds"	32	4.45928571428571	4.655	62.43	0.492857142857143	0	6.9	0.195667159277504	0.202927586206897	2.73934022988506	-0.0416357142857143	-0.03955	-0.5829	17.0230428571429	17.6547	238.3226	0.152330769230769	0.135948076923077	2.13263076923077	-0.497442857142857	-0.527075	-6.9642	15.8424	14.1386	221.7936	2.45067567567568	0	181.35	2.15486486486486	0	159.46	5.31608108108108	7.465	393.39	0.311111111111111	0.621848739495798	5.28571428571429
"16"	"MELA.MosheSade-Feldman2018.sce.rds"	32	2.26	0	24.86	0.524545454545455	0	5.77	0.0251455590386625	0.0284885057471264	0.276601149425287	-0.0760636363636364	-0.0733	-0.8367	2.18766363636364	2.4785	24.0643	0.18121215034965	0.335374038461539	1.99333365384615	-0.466195454545455	-0.45355	-5.12815	18.8460636363636	34.8789	207.3067	2.5589175257732	0	496.43	0.272731958762887	0	52.91	1.62201030927835	0	314.67	0.152777777777778	0.729323308270677	17.6363636363636
"17"	"MELA.MosheSade-Feldman2018.sce.rds"	32	3.64822222222222	0	164.17	0.0613333333333333	0	2.76	0.339007637292465	0.314598850574713	15.2553436781609	-0.0289066666666667	-0.0165	-1.3008	29.4936644444444	27.3701	1327.2149	0.285714252136752	0.264477884615385	12.8571413461538	-0.375758888888889	-0.4171	-16.90915	29.7142822222222	27.5057	1337.1427	6.28628712871287	9.085	2539.66	1.45477722772277	0	587.73	4.8764603960396	5.745	1970.09	0.398230088495575	0.781431334622824	8.97777777777778
"18"	"MELA.MosheSade-Feldman2018.sce.rds"	32	3.8996875	2.575	374.37	0	0	0	0.173585476532567	0.206016091954023	16.6642057471264	-0.0545895833333333	-0.05395	-5.2406	15.1019364583333	17.9234	1449.7859	0.339618629807692	0.30805	32.6033884615385	-0.3899921875	-0.42075	-37.43925	35.3203375	32.0372	3390.7524	6.85317647058824	9.56	1747.56	1.97078431372549	0	502.55	5.06513725490196	7.16	1291.61	0.349090909090909	0.481132075471698	2.65625
"19"	"MELA.MosheSade-Feldman2018.sce.rds"	32	4.59825	6.525	183.93	0.134	0	5.36	0.170057614942529	0.230798275862069	6.80230459770115	-0.053265	-0.0409	-2.1306	14.7950125	20.07945	591.8005	0.415171971153846	0.446309615384615	16.6068788461538	-0.3053975	-0.2821	-12.2159	43.177885	46.4162	1727.1154	6.11311403508772	8.775	2787.58	0.90905701754386	0	414.53	3.74081140350877	0	1705.81	0.264900662251656	0.751235584843493	11.4
"20"	"MELA.MosheSade-Feldman2018.sce.rds"	32	3.69740740740741	3.9	99.83	0	0	0	0.149248148148148	0.140737931034483	4.0297	-0.047362962962963	-0.0525	-1.2788	12.9845888888889	12.2442	350.5839	0.356388497150997	0.3678375	9.62248942307692	-0.373731481481481	-0.3697	-10.09075	37.0644037037037	38.2551	1000.7389	2.476	0	396.16	0.8199375	0	131.19	3.64725	0	583.56	0.36	0.680851063829787	5.92592592592593
"21"	"MELA.MosheSade-Feldman2018.sce.rds"	32	3.68888888888889	2.56	166	0.863111111111111	0	38.84	0.250615300127714	0.25102183908046	11.2776885057471	-0.0411444444444444	-0.0409	-1.8515	21.8035311111111	21.8389	981.1589	0.29473391025641	0.277406730769231	13.2630259615385	-0.447903333333333	-0.4603	-20.15565	30.6523266666667	28.8503	1379.3547	5.30602977667494	6.98	2138.33	0.775310173697271	0	312.45	4.95930521091811	6.79	1998.6	0.254237288135593	0.694827586206897	8.95555555555556
"22"	"MELA.MosheSade-Feldman2018.sce.rds"	32	3.10863636363636	1.105	68.39	0.392272727272727	0	8.63	0.129217972831766	0.147074137931034	2.84279540229885	-0.0602227272727273	-0.05805	-1.3249	11.2419636363636	12.79545	247.3232	0.234247770979021	0.274542307692308	5.15345096153846	-0.496929545454545	-0.4765	-10.93245	24.3617681818182	28.5524	535.9589	4.14028571428571	0	869.46	0.660333333333333	0	138.67	4.82871428571429	6.165	1014.03	0.297297297297297	0.73943661971831	9.54545454545454
"23"	"MELA.MosheSade-Feldman2018.sce.rds"	32	3.40842105263158	0	64.76	0.109473684210526	0	2.08	0.161441560798548	0.204410344827586	3.06738965517241	-0.0577	-0.0516	-1.0963	14.0454157894737	17.7837	266.8629	0.283793269230769	0.273365384615385	5.39207211538462	-0.411313157894737	-0.40275	-7.81495	29.5145	28.43	560.7755	5.73611940298508	6.23	384.32	0.92	0	61.64	4.78746268656716	0	320.76	0.387755102040816	0.577586206896552	3.52631578947368
"24"	"MELA.MosheSade-Feldman2018.sce.rds"	32	3.40878048780488	3.08	139.76	0.175121951219512	0	7.18	0.12057608634707	0.136958620689655	4.94361954022988	-0.0543536585365854	-0.0514	-2.2285	10.4901195121951	11.9154	430.0949	0.285746740150094	0.234171153846154	11.7156163461538	-0.408275609756098	-0.4055	-16.7393	29.7176609756098	24.3538	1218.4241	7.31172794117647	9.75	1988.79	0.939411764705882	0	255.52	3.12871323529412	0	851.01	0.297101449275362	0.663414634146341	6.63414634146341
"25"	"MELA.MosheSade-Feldman2018.sce.rds"	32	3.305	2.555	39.66	0.49	0	5.88	0.0726286398467433	0.0923689655172414	0.87154367816092	-0.0572833333333335	-0.0571000000000008	-0.687400000000002	6.31869166666667	8.0361	75.8243	0.2993875	0.253221634615385	3.59265	-0.3840875	-0.3805	-4.60905	31.1363	26.33505	373.6356	8.36817567567568	10.395	1238.49	0.9025	0	133.57	1.54736486486486	0	229.01	0.114285714285714	0.58498023715415	12.3333333333333
"26"	"MELA.MosheSade-Feldman2018.sce.rds"	32	3.61085714285714	0	126.38	0	0	0	0.0858316584564861	0.0346632183908046	3.00410804597701	-0.0763885714285714	-0.0803	-2.6736	7.46735428571429	3.0157	261.3574	0.24619728021978	0.246210576923077	8.61690480769231	-0.446604285714286	-0.45035	-15.63115	25.6045171428571	25.6059	896.1581	6.31110497237569	9.54	2284.62	0.843950276243094	0	305.51	2.52867403314917	0	915.38	0.35	0.783549783549784	10.3428571428571
"27"	"MELA.MosheSade-Feldman2018.sce.rds"	32	3.79714285714286	4.515	53.16	0.707857142857143	0	9.91	0.210297536945813	0.278768965517241	2.94416551724138	-0.0434	-0.0137	-0.6076	18.2958857142857	24.2529	256.1424	0.336626167582418	0.329115865384615	4.71276634615385	-0.3217	-0.331775	-4.5038	35.0091214285714	34.22805	490.1277	3.16402234636872	0	566.36	1.08608938547486	0	194.41	3.11050279329609	0	556.78	0.212121212121212	0.730612244897959	12.7857142857143
"28"	"MELA.MosheSade-Feldman2018.sce.rds"	32	4.90694444444444	7.155	176.65	0	0	0	0.130683971902937	0.0606770114942529	4.70462298850575	-0.0274833333333333	-0.0223	-0.9894	11.3695055555556	5.2789	409.3022	0.333246394230769	0.326244711538462	11.9968701923077	-0.191479166666667	-0.165725	-6.89325	34.657625	33.92945	1247.6745	9.78698113207547	11.355	1037.42	0.912264150943396	0	96.7	5.45518867924528	7.545	578.25	0.295081967213115	0.464912280701754	2.94444444444444
"29"	"MELA.MosheSade-Feldman2018.sce.rds"	32	8.22	8.22	8.22	0	0	0	-0.468093103448276	-0.468093103448276	-0.468093103448276	-0.1793	-0.1793	-0.1793	-40.7241	-40.7241	-40.7241	-0.117	-0.117	-0.117	-0.72	-0.72	-0.72	-12.168	-12.168	-12.168	0.657302631578947	0	99.91	0.12875	0	19.57	0.480657894736842	0	73.06	0.0666666666666667	0.910179640718563	152
"30"	"MELA.MosheSade-Feldman2018.sce.rds"	32	2.06166666666667	0	37.11	0	0	0	0.116806577266922	0.138558045977012	2.1025183908046	-0.0669333333333333	-0.06335	-1.2048	10.1621722222222	12.05455	182.9191	0.255138247863248	0.254232692307692	4.59248846153846	-0.448769444444444	-0.4521	-8.07785	26.5343777777778	26.4402	477.6188	3.1916049382716	0	258.52	1.28777777777778	0	104.31	2.01037037037037	0	162.84	0.321428571428571	0.591240875912409	4.5
"31"	"MELA.MosheSade-Feldman2018.sce.rds"	32	2.82625	0.57	22.61	0	0	0	-0.0134643678160919	0.0226724137931035	-0.107714942528736	-0.0885625	-0.0866	-0.7085	-1.1714	1.9725	-9.37119999999999	0.394322596153846	0.391992788461539	3.15458076923077	-0.37615625	-0.377575	-3.00925	41.00955	40.76725	328.0764	7.80396226415094	10.105	1654.44	0.34188679245283	0	72.48	2.69584905660377	0	571.52	0.205128205128205	0.844621513944223	26.5
"32"	"MELA.MosheSade-Feldman2018.sce.rds"	32	5.557	6.965	55.57	0	0	0	0.0156559770114943	-0.0651183908045977	0.156559770114943	-0.09945	-0.09405	-0.9945	1.36207	-5.6653	13.6207	0.422507788461538	0.43504375	4.22507788461539	-0.414295	-0.39825	-4.14295	43.94081	45.24455	439.4081	0.905641025641026	0	35.32	2.47333333333333	0	96.46	1.72205128205128	0	67.16	0.256410256410256	0.5	3.9
