"i"	"d"	"f"	"o"	"n"
"139"	1	8	11	NA	NA
"140"	1	8	12	NA	NA
"141"	1	8	13	NA	NA
"142"	1	8	14	NA	NA
"143"	1	8	15	NA	NA
"144"	1	8	16	NA	NA
"145"	1	8	17	NA	NA
"146"	1	8	18	NA	NA
"147"	1	8	19	NA	NA
"148"	1	8	20	NA	NA
"149"	1	8	21	NA	NA
"150"	1	8	22	NA	NA
"151"	1	8	23	NA	NA
"152"	1	8	24	NA	NA
"153"	1	8	25	NA	NA
"154"	1	8	26	NA	NA
"155"	2	3	6	0.605530070819498	0.0483518642946536
"156"	2	3	7	NA	NA
"157"	2	3	8	0.0917469804271967	0.788478313421582
"158"	2	3	9	0.154545454545455	0.653538937959263
"159"	2	3	10	0.2	0.557553078061045
"160"	2	3	11	0.172727272727273	0.614426013724972
"161"	2	3	12	0.3	0.371067789395025
"162"	2	3	13	0.155969866726234	0.646989097896852
"163"	2	3	14	0.263636363636364	0.434522554208937
"164"	2	3	15	0.154545454545455	0.653538937959263
"165"	2	3	16	0.2	0.557553078061045
"166"	2	3	17	0.172727272727273	0.614426013724972
"167"	2	3	18	-0.754545454545455	0.0104817749990729
"168"	2	3	19	-0.790909090909091	0.00606083055140366
"169"	2	3	20	-0.654545454545455	0.0338251607875948
"170"	2	3	21	-0.2	0.557553078061045
"171"	2	3	22	-0.190909090909091	0.576257826919622
"172"	2	3	23	0.3	0.371067789395025
"173"	2	3	24	-0.754545454545455	0.0104817749990729
"174"	2	3	25	-0.790909090909091	0.00606083055140366
"175"	2	3	26	-0.654545454545455	0.0338251607875948
"176"	2	3	27	-0.1	0.775664871585324
"177"	2	3	28	-0.0858116330321033	0.801919446588116
"178"	2	3	29	-0.281818181818182	0.402135894917861
"179"	2	3	30	0.236363636363636	0.485475943733222
"180"	2	3	31	NA	NA
"181"	2	3	32	-0.0454545454545455	0.902917866811604
"182"	2	3	33	0.127272727272727	0.713791318994479
"183"	2	3	34	0.3	0.370083122282068
"184"	2	3	35	-0.127272727272727	0.713791318994479
"185"	2	3	36	0.0727272727272727	0.83882493483871
"186"	2	3	37	0.2	0.557553078061045
"187"	2	3	38	0.218181818181818	0.520948935577084
"188"	2	4	6	0.302765035409749	0.365470183682198
"189"	2	4	7	NA	NA
"190"	2	4	8	-0.201843356939833	0.551730130459995
"191"	2	4	9	0	1
"192"	2	4	10	0.1	0.769874999892137
"193"	2	4	11	0.2	0.555445442105586
"194"	2	4	12	0.2	0.555445442105586
"195"	2	4	13	-0.100921678469916	0.767803987378345
"196"	2	4	14	0.2	0.555445442105586
"197"	2	4	15	0	1
"198"	2	4	16	0.1	0.769874999892137
"199"	2	4	17	0.2	0.555445442105586
"200"	2	4	18	-0.4	0.222868350133521
"201"	2	4	19	-0.2	0.555445442105586
"202"	2	4	20	-0.3	0.370083122282068
"203"	2	4	21	-0.4	0.222868350133521
"204"	2	4	22	-0.3	0.370083122282068
"205"	2	4	23	0.1	0.769874999892137
"206"	2	4	24	-0.4	0.222868350133521
"207"	2	4	25	-0.2	0.555445442105586
"208"	2	4	26	-0.3	0.370083122282068
"209"	2	4	27	-0.3	0.370083122282068
"210"	2	4	28	-0.314642654451045	0.345993661494477
"211"	2	4	29	-0.4	0.222868350133521
"212"	2	4	30	0.4	0.22286835013352
"213"	2	4	31	NA	NA
"214"	2	4	32	0.2	0.555445442105586
"215"	2	4	33	0	1
"216"	2	4	34	-0.1	0.769874999892136
"217"	2	4	35	-0.3	0.370083122282068
"218"	2	4	36	0.2	0.555445442105586
"219"	2	4	37	-0.2	0.555445442105586
"220"	2	4	38	-0.1	0.769874999892136
"221"	2	5	6	0.330289129537908	0.321189258134261
"222"	2	5	7	NA	NA
"223"	2	5	8	0.761499937545733	0.0064688985529099
"224"	2	5	9	-0.481818181818182	0.137219212931031
"225"	2	5	10	-0.354545454545455	0.286102697970978
"226"	2	5	11	-0.172727272727273	0.614426013724972
"227"	2	5	12	-0.436363636363636	0.182531860964529
"228"	2	5	13	-0.311939733452469	0.350377178579973
"229"	2	5	14	-0.927272727272727	0
"230"	2	5	15	-0.481818181818182	0.137219212931031
"231"	2	5	16	-0.354545454545455	0.286102697970978
"232"	2	5	17	-0.172727272727273	0.614426013724972
"233"	2	5	18	0.290909090909091	0.386434553629285
"234"	2	5	19	0.227272727272727	0.503066960517545
"235"	2	5	20	0.436363636363636	0.182531860964529
"236"	2	5	21	-0.281818181818182	0.402135894917861
"237"	2	5	22	-0.245454545454545	0.468183503088794
"238"	2	5	23	-0.972727272727273	0
"239"	2	5	24	0.290909090909091	0.386434553629285
"240"	2	5	25	0.227272727272727	0.503066960517545
"241"	2	5	26	0.436363636363636	0.182531860964529
"242"	2	5	27	0	1
"243"	2	5	28	-0.371850409805781	0.260136952941552
"244"	2	5	29	0.736363636363636	0.0133753659145312
"245"	2	5	30	-0.272727272727273	0.418166994020656
"246"	2	5	31	NA	NA
"247"	2	5	32	0.672727272727273	0.0280703042358757
"248"	2	5	33	-0.372727272727273	0.260598370671166
"249"	2	5	34	0.1	0.769874999892137
"250"	2	5	35	0.709090909090909	0.0187283868010195
"251"	2	5	36	0.527272727272727	0.100128813234869
"252"	2	5	37	-0.0909090909090909	0.796592401118967
"253"	2	5	38	-0.390909090909091	0.236519264676913
"254"	2	6	9	0.220192753025272	0.515307485611686
"255"	2	6	10	0.339463827580628	0.307102493519774
"256"	2	6	11	0.366987921708787	0.266911027331621
"257"	2	6	12	0.27524094128159	0.412687797958505
"258"	2	6	13	0.277777777777778	0.408216709829787
"259"	2	6	14	-0.137620470640795	0.686570584150372
"260"	2	6	15	0.220192753025272	0.515307485611686
"261"	2	6	16	0.339463827580628	0.307102493519774
"262"	2	6	17	0.366987921708787	0.266911027331621
"263"	2	6	18	-0.082572282384477	0.809275856813226
"264"	2	6	19	-0.247716847153431	0.462693557644972
"265"	2	6	20	0.0733975843417574	0.830184743518939
"266"	2	6	21	-0.467909600178703	0.146674286777004
"267"	2	6	22	-0.458734902135984	0.155842955629683
"268"	2	6	23	-0.183493960854393	0.589150557249191
"269"	2	6	24	-0.082572282384477	0.809275856813226
"270"	2	6	25	-0.247716847153431	0.462693557644972
"271"	2	6	26	0.0733975843417574	0.830184743518939
"272"	2	7	9	NA	NA
"273"	2	7	10	NA	NA
"274"	2	7	11	NA	NA
"275"	2	7	12	NA	NA
"276"	2	7	13	NA	NA
"277"	2	7	14	NA	NA
"278"	2	7	15	NA	NA
"279"	2	7	16	NA	NA
"280"	2	7	17	NA	NA
"281"	2	7	18	NA	NA
"282"	2	7	19	NA	NA
"283"	2	7	20	NA	NA
"284"	2	7	21	NA	NA
"285"	2	7	22	NA	NA
"286"	2	7	23	NA	NA
"287"	2	7	24	NA	NA
"288"	2	7	25	NA	NA
"289"	2	7	26	NA	NA
"290"	2	8	9	-0.100921678469916	0.767803987378345
"291"	2	8	10	-0.00917469804271967	0.97864147885784
"292"	2	8	11	0.082572282384477	0.809275856813226
"293"	2	8	12	-0.174319262811674	0.608212031580995
"294"	2	8	13	0.00925925925925926	0.978444661166391
"295"	2	8	14	-0.678927655161256	0.0216070023461268
"296"	2	8	15	-0.100921678469916	0.767803987378345
"297"	2	8	16	-0.00917469804271967	0.97864147885784
"298"	2	8	17	0.082572282384477	0.809275856813226
"299"	2	8	18	0.311939733452469	0.350377178579973
"300"	2	8	19	0.100921678469916	0.767803987378345
"301"	2	8	20	0.440385506050544	0.175228114065639
"302"	2	8	21	-0.357813223666067	0.279960573486871
"303"	2	8	22	-0.311939733452469	0.350377178579973
"304"	2	8	23	-0.660578259075816	0.0269293105867051
"305"	2	8	24	0.311939733452469	0.350377178579973
"306"	2	8	25	0.100921678469916	0.767803987378345
"307"	2	8	26	0.440385506050544	0.175228114065639
"308"	3	3	6	1	1
"309"	3	3	7	NA	NA
"310"	3	3	8	1	1
"311"	3	3	9	-1	1
"312"	3	3	10	-1	1
"313"	3	3	11	-1	1
"314"	3	3	12	-1	1
"315"	3	3	13	-1	1
"316"	3	3	14	-1	1
"317"	3	3	15	-1	1
"318"	3	3	16	-1	1
"319"	3	3	17	-1	1
"320"	3	3	18	1	1
"321"	3	3	19	1	1
"322"	3	3	20	1	1
"323"	3	3	21	-1	1
"324"	3	3	22	-1	1
"325"	3	3	23	-1	1
"326"	3	3	24	1	1
"327"	3	3	25	1	1
"328"	3	3	26	1	1
"329"	3	3	27	-1	1
"330"	3	3	28	-1	1
"331"	3	3	29	-1	1
"332"	3	3	30	-1	1
"333"	3	3	31	NA	NA
"334"	3	3	32	-1	1
"335"	3	3	33	-1	1
"336"	3	3	34	NA	NA
"337"	3	3	35	-1	1
"338"	3	3	36	1	1
"339"	3	3	37	1	1
"340"	3	3	38	-1	1
"341"	3	4	6	NA	NA
"342"	3	4	7	NA	NA
"343"	3	4	8	NA	NA
"344"	3	4	9	NA	NA
"345"	3	4	10	NA	NA
"346"	3	4	11	NA	NA
"347"	3	4	12	NA	NA
"348"	3	4	13	NA	NA
"349"	3	4	14	NA	NA
"350"	3	4	15	NA	NA
"351"	3	4	16	NA	NA
"352"	3	4	17	NA	NA
"353"	3	4	18	NA	NA
"354"	3	4	19	NA	NA
"355"	3	4	20	NA	NA
"356"	3	4	21	NA	NA
"357"	3	4	22	NA	NA
"358"	3	4	23	NA	NA
"359"	3	4	24	NA	NA
"360"	3	4	25	NA	NA
"361"	3	4	26	NA	NA
"362"	3	4	27	NA	NA
"363"	3	4	28	NA	NA
"364"	3	4	29	NA	NA
"365"	3	4	30	NA	NA
"366"	3	4	31	NA	NA
